"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",76386,64879,11507,0.000261452939302068,NA,NA,NA,NA,NA,76386,432,64042,64,11635,0.00122982230637909,0.000968369367077024,76173
"52","112",3254,2790,464,0.023283586701273,NA,NA,NA,NA,NA,3254,63,2641,7,465,0.00846830809347107,0.014815278607802,3176
"86","121",6986,6072,914,0.0901292441107872,NA,NA,NA,NA,NA,6986,1789,4372,213,788,0.0775877263460448,0.0125415177647425,7162
"141","122",13374,11297,2077,0.0191506780062572,NA,NA,NA,NA,NA,13374,1773,9650,267,1799,0.0259779292453474,0.0068272512390902,13489
