"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",76422,64835,11587,0.00108712605956624,NA,NA,NA,NA,NA,76422,415,64103,70,11549,0.000407698607930661,0.000679427451635579,76137
"52","112",3199,2755,444,0.0224301433920309,NA,NA,NA,NA,NA,3199,78,2661,9,483,0.0101848636230064,0.0122452797690244,3231
"85","12",20379,17364,3015,0.0531958383617503,NA,NA,NA,NA,NA,20379,3609,13980,502,2541,0.0402162780351827,0.0129795603265677,20632
