"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",3269,2789,480,0.0202828074578702,NA,NA,NA,NA,NA,3269,72,2650,7,452,0.0112005942061697,0.00908221325170052,3181
"27","1121",9896,8421,1475,0.00725232922536274,NA,NA,NA,NA,NA,9896,148,8343,15,1427,0.00702800109310486,0.000224328132257879,9933
"55","11221",65618,55489,10129,2.74496088885322e-05,NA,NA,NA,NA,NA,65618,243,55278,42,9844,0.000128290195044713,0.00010084058615618,65407
"70","11222",826,697,129,-0.0281605552033633,NA,NA,NA,NA,NA,826,18,699,6,136,-0.0171489186163003,0.0110116365870629,859
"78","121",18425,15610,2815,0.0328564942771348,NA,NA,NA,NA,NA,18425,2954,12932,411,2343,0.0367124202206517,0.00385592594351683,18640
"155","122",1966,1724,242,0.140984832505609,NA,NA,NA,NA,NA,1966,657,1076,59,188,0.140244970809553,0.000739861696055638,1980
