"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"6","111111",19849,2205,17644,0.0326549118854071,NA,NA,NA,NA,NA,19849,112,2017,137,17591,0.0448789695930192,0.0122240577076121,19857
"9","111112",3099,781,2318,0.0991400595904235,NA,NA,NA,NA,NA,3099,147,601,157,2184,0.129458707485946,0.0303186478955222,3089
"17","111121",3566,564,3002,0.161724335076852,NA,NA,NA,NA,NA,3566,92,467,110,3056,0.129835449775511,0.0318888853013413,3725
"20","111122",2495,1978,517,0.0304500374525975,NA,NA,NA,NA,NA,2495,342,1578,63,406,0.0437966417910448,0.0133466043384473,2389
"23","1112",20455,3848,16607,0.171102140256714,NA,NA,NA,NA,NA,20455,834,3102,672,16130,0.171895005240375,0.000792864983661351,20738
"32","11211",33252,1306,31946,0.0368906411652359,NA,NA,NA,NA,NA,33252,55,1265,55,31841,0.0399423125156759,0.00305167135044009,33216
"37","11212",1784,725,1059,0.0593637458890951,NA,NA,NA,NA,NA,1784,55,615,24,966,0.0578471279963817,0.00151661789271338,1660
"40","1122",1391,553,838,0.0146132831550191,NA,NA,NA,NA,NA,1391,15,474,13,901,0.016451651877408,0.00183836872238896,1403
"48","1211111",6895,1379,5516,0.227157360406091,NA,NA,NA,NA,NA,6895,484,929,577,5132,0.241465128067241,0.01430776766115,7122
"51","1211112",3060,762,2298,0.293017550351898,NA,NA,NA,NA,NA,3060,312,442,326,2041,0.276066022755416,0.0169515275964822,3121
"52","121112",17850,3343,14507,0.331982037367707,NA,NA,NA,NA,NA,17850,1489,1727,1722,12667,0.343322760891491,0.0113407235237836,17605
"55","1211211",8684,1242,7442,0.164725947217797,NA,NA,NA,NA,NA,8684,277,938,335,7151,0.183233338720619,0.0185073915028215,8701
"58","1211212",2531,344,2187,0.262522463606299,NA,NA,NA,NA,NA,2531,144,174,409,1778,0.26581601401075,0.00329355040445023,2505
"59","121122",633,115,518,0.319070001678697,NA,NA,NA,NA,NA,633,55,46,139,386,0.27979255068364,0.0392774509950575,626
"62","121211",2600,1556,1044,0.00110805779629464,NA,NA,NA,NA,NA,2600,708,911,468,598,-0.00171741062685488,0.00282546842314951,2685
"65","121212",4399,2205,2194,0.227739020251066,NA,NA,NA,NA,NA,4399,1287,893,782,1503,0.248135024993476,0.0203960047424096,4465
"66","12122",3727,1664,2063,0.311672403426675,NA,NA,NA,NA,NA,3727,1174,505,884,1219,0.278873851331814,0.0327985520948615,3782
"73","12211",34212,1228,32984,0.0905994496591379,NA,NA,NA,NA,NA,34212,91,1096,206,32350,0.0703362997985818,0.0202631498605561,33743
"78","12212",2349,820,1529,0.150697091993811,NA,NA,NA,NA,NA,2349,155,646,133,1422,0.107977568232635,0.0427195237611755,2356
"81","1222",1233,352,881,0.0188286812506449,NA,NA,NA,NA,NA,1233,30,336,45,865,0.0325166636642046,0.0136879824135597,1276
