"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"6","111111",19836,2205,17631,0.0382047391016982,NA,NA,NA,NA,NA,19836,101,2028,147,17594,0.0391542212910686,0.000949482189370368,19870
"9","111112",3113,763,2350,0.120677616352026,NA,NA,NA,NA,NA,3113,133,633,153,2156,0.107366791542234,0.0133108248097919,3075
"18","1111211",3203,541,2662,0.155887405547509,NA,NA,NA,NA,NA,3203,83,419,76,2514,0.135995016074697,0.0198923894728112,3092
"19","1111212",2159,1760,399,0.0442697653223969,NA,NA,NA,NA,NA,2159,252,1394,71,342,-0.0188144125166594,0.0630841778390563,2059
"20","111122",845,295,550,0.283944530046225,NA,NA,NA,NA,NA,845,85,192,42,498,0.229081427998395,0.0548631020478295,817
"25","111211",15002,2114,12888,0.156924411581447,NA,NA,NA,NA,NA,15002,382,1648,352,12722,0.16125367461159,0.00432926303014289,15104
"26","111212",2793,1428,1365,0.11555699202758,NA,NA,NA,NA,NA,2793,332,1123,164,1176,0.105790634456583,0.00976635757099721,2795
"27","11122",2702,363,2339,0.234104424084602,NA,NA,NA,NA,NA,2702,87,307,148,2255,0.159222503173909,0.074881920910693,2797
"33","112111",24095,281,23814,0.0240291978133022,NA,NA,NA,NA,NA,24095,5,268,11,23809,0.0178532215056145,0.00617597630768775,24093
"36","112112",9161,1028,8133,0.0390911122051152,NA,NA,NA,NA,NA,9161,48,996,46,8029,0.0402804170670083,0.00118930486189305,9119
"37","11212",1720,691,1029,0.0591233392261184,NA,NA,NA,NA,NA,1720,61,643,29,991,0.0582163547237077,0.000906984502410724,1724
"40","1122",1389,531,858,0.00861285607048319,NA,NA,NA,NA,NA,1389,19,492,13,881,0.0226406090614972,0.014027752991014,1405
"49","12111111",3123,405,2718,0.130537159676233,NA,NA,NA,NA,NA,3123,98,356,76,2634,0.1878147503942,0.0572775907179675,3164
"50","12111112",3886,952,2934,0.237007584219782,NA,NA,NA,NA,NA,3886,392,589,503,2360,0.223902416966727,0.0131051672530551,3844
"51","1211112",3038,770,2268,0.280936347603014,NA,NA,NA,NA,NA,3038,325,421,352,2045,0.288806607007642,0.00787025940462827,3143
"54","12111211",7637,1017,6620,0.155173233281941,NA,NA,NA,NA,NA,7637,187,864,217,6440,0.145328518930947,0.00984471435099457,7708
"55","12111212",626,114,512,0.252878289473684,NA,NA,NA,NA,NA,626,59,43,122,409,0.348676193641298,0.0957979041676142,633
"56","1211122",1021,190,831,0.249420482614478,NA,NA,NA,NA,NA,1021,84,115,125,695,0.269671528373575,0.0202510457590968,1019
"57","12112",20220,3633,16587,0.329298057929122,NA,NA,NA,NA,NA,20220,1641,1947,2177,14506,0.326865741807143,0.00243231612197981,20271
"62","121211",2656,1593,1063,-0.000842703762167385,NA,NA,NA,NA,NA,2656,670,912,443,604,0.000400880488108213,0.0012435842502756,2629
"65","121212",1601,816,785,0.275551080304733,NA,NA,NA,NA,NA,1601,572,253,312,480,0.299393939393939,0.0238428590892061,1617
"68","12122",6473,3011,3462,0.256207596985519,NA,NA,NA,NA,NA,6473,1894,1182,1339,2267,0.244409151919175,0.0117984450663434,6682
"75","1221111",22827,190,22637,0.0313580700436872,NA,NA,NA,NA,NA,22827,6,155,8,22282,0.0369081754066247,0.00555010536293749,22451
"76","1221112",10671,930,9741,0.0662136430319468,NA,NA,NA,NA,NA,10671,97,895,168,9515,0.0804322632282051,0.0142186201962583,10675
"77","122112",649,71,578,0.15393050343584,NA,NA,NA,NA,NA,649,9,62,36,575,0.067840759779627,0.0860897436562129,682
"78","12212",2359,825,1534,0.132590573268539,NA,NA,NA,NA,NA,2359,169,627,133,1417,0.126505106176041,0.00608546709249788,2346
"81","1222",1259,355,904,0.0358344758818397,NA,NA,NA,NA,NA,1259,31,332,62,825,0.0155009146502433,0.0203335612315964,1250
