"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"7","1111111",8402,1184,7218,0.0298060685373653,NA,NA,NA,NA,NA,8402,39,1056,29,7208,0.0316092530583891,0.00180318452102377,8332
"8","1111112",11518,1031,10487,0.0491207209850226,NA,NA,NA,NA,NA,11518,61,963,120,10310,0.0480650392497603,0.00105568173526231,11454
"9","111112",3128,798,2330,0.115575419234782,NA,NA,NA,NA,NA,3128,132,599,159,2170,0.112304911779684,0.00327050745509835,3060
"17","111121",3678,585,3093,0.149095973538263,NA,NA,NA,NA,NA,3678,97,441,116,2959,0.142573820533744,0.00652215300451822,3613
"21","1111221",2071,1667,404,-0.000571667844648904,NA,NA,NA,NA,NA,2071,265,1474,52,356,0.0249354485900168,0.0255071164346657,2147
"22","1111222",320,233,87,0.248631049282226,NA,NA,NA,NA,NA,320,95,164,18,69,0.159898815071229,0.088732234210997,346
"24","11121",17087,2237,14850,0.171734661470915,NA,NA,NA,NA,NA,17087,374,1831,410,14501,0.142118033362273,0.0296166281086424,17116
"27","11122",3555,1658,1897,0.117906630556914,NA,NA,NA,NA,NA,3555,409,1275,220,1531,0.117231619257947,0.000675011298966938,3435
"32","11211",33189,1354,31835,0.0399614751004475,NA,NA,NA,NA,NA,33189,49,1223,56,31951,0.0367723953073944,0.00318907979305311,33279
"37","11212",1695,701,994,0.0642255817357784,NA,NA,NA,NA,NA,1695,53,641,25,1030,0.0526721936162367,0.0115533881195418,1749
"40","1122",1451,510,941,0.0227063407722281,NA,NA,NA,NA,NA,1451,14,518,15,796,0.00782010513336362,0.0148862356388645,1343
"47","121111",9963,2054,7909,0.265497517218438,NA,NA,NA,NA,NA,9963,804,1450,891,7090,0.245059056074503,0.0204384611439342,10235
"52","121112",17819,3321,14498,0.344991172816037,NA,NA,NA,NA,NA,17819,1467,1771,1772,12626,0.329984793886942,0.015006378929095,17636
"56","12112111",7703,1043,6660,0.149768800439941,NA,NA,NA,NA,NA,7703,186,839,204,6413,0.15063373350977,0.000864933069828322,7642
"57","12112112",623,86,537,0.266272573730025,NA,NA,NA,NA,NA,623,74,56,124,382,0.32417148069322,0.0578989069631951,636
"58","1211212",1023,192,831,0.285066937424789,NA,NA,NA,NA,NA,1023,80,117,141,679,0.234140151046181,0.0509267863786089,1017
"59","121122",2557,344,2213,0.264483653674377,NA,NA,NA,NA,NA,2557,141,177,389,1772,0.263386971440546,0.00109668223383097,2479
"62","121211",2615,1590,1025,-0.0244454670961804,NA,NA,NA,NA,NA,2615,683,902,443,642,0.0226198956228467,0.0470653627190271,2670
"65","121212",4407,2169,2238,0.230756442536003,NA,NA,NA,NA,NA,4407,1287,929,752,1489,0.245211693142405,0.0144552506064025,4457
"66","12122",3765,1662,2103,0.306929588296589,NA,NA,NA,NA,NA,3765,1171,510,852,1211,0.283618371102075,0.0233112171945133,3744
"75","1221111",22559,170,22389,0.0231720934387422,NA,NA,NA,NA,NA,22559,8,173,5,22533,0.0439770474812582,0.0208049540425159,22719
"76","1221112",10621,924,9697,0.0806442792366274,NA,NA,NA,NA,NA,10621,84,914,167,9560,0.0669996310087019,0.0136446482279255,10725
"77","122112",663,77,586,0.130623642569035,NA,NA,NA,NA,NA,663,9,56,31,572,0.0870519198877408,0.0435717226812943,668
"78","12212",2388,808,1580,0.134305677403183,NA,NA,NA,NA,NA,2388,169,644,125,1379,0.124760376593128,0.00954530081005574,2317
"81","1222",1264,356,908,0.0332252635747166,NA,NA,NA,NA,NA,1264,28,334,52,831,0.0184579190729745,0.0147673445017422,1245
