"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"7","1111111",8317,1125,7192,0.0215220615498702,NA,NA,NA,NA,NA,8317,52,1102,39,7224,0.0396909766292486,0.0181689150793783,8417
"8","1111112",11504,1024,10480,0.0480752027671756,NA,NA,NA,NA,NA,11504,61,970,105,10332,0.0491054962168745,0.0010302934496989,11468
"9","111112",3025,758,2267,0.1273194730404,NA,NA,NA,NA,NA,3025,130,641,162,2230,0.100886439450134,0.0264330335902653,3163
"18","1111211",3131,514,2617,0.150017321642835,NA,NA,NA,NA,NA,3131,90,439,72,2563,0.142807846963409,0.00720947467942634,3164
"19","1111212",2128,1751,377,0.002394993690608,NA,NA,NA,NA,NA,2128,269,1386,61,374,0.0223078792929819,0.0199128856023739,2090
"20","111122",811,271,540,0.248783654503212,NA,NA,NA,NA,NA,811,98,203,33,517,0.265581395348837,0.0167977408456255,851
"23","1112",20595,3835,16760,0.169746991813251,NA,NA,NA,NA,NA,20595,838,3111,649,16000,0.173224301476962,0.00347730966371113,20598
"32","11211",33305,1282,32023,0.0396865932408273,NA,NA,NA,NA,NA,33305,53,1291,71,31748,0.0372031526162116,0.00248344062461571,33163
"37","11212",1735,702,1033,0.063550966261518,NA,NA,NA,NA,NA,1735,57,636,29,987,0.0537077751644681,0.00984319109704997,1709
"40","1122",1433,531,902,0.0107378038341246,NA,NA,NA,NA,NA,1433,20,491,16,834,0.0203154138367676,0.00957761000264295,1361
"47","121111",10115,2222,7893,0.258288827742523,NA,NA,NA,NA,NA,10115,761,1325,911,7086,0.250895320165004,0.007393507577519,10083
"52","121112",17690,3268,14422,0.333635271286711,NA,NA,NA,NA,NA,17690,1521,1770,1747,12727,0.341470368582196,0.00783509729548543,17765
"56","12112111",7686,1044,6642,0.161610026061946,NA,NA,NA,NA,NA,7686,174,850,208,6427,0.138572967690279,0.0230370583716676,7659
"57","12112112",1016,190,826,0.240193704600484,NA,NA,NA,NA,NA,1016,89,110,140,685,0.277539211207553,0.0373455066070686,1024
"58","1211212",2541,318,2223,0.252213140495166,NA,NA,NA,NA,NA,2541,160,184,408,1743,0.275437060101846,0.0232239196066792,2495
"59","121122",624,106,518,0.318714941356451,NA,NA,NA,NA,NA,624,58,52,129,396,0.281558441558442,0.0371564997980093,635
"62","121211",2633,1543,1090,-0.00766289903500272,NA,NA,NA,NA,NA,2633,705,927,433,587,0.00747549019607846,0.0151383892310812,2652
"65","121212",4532,2253,2279,0.219829170291593,NA,NA,NA,NA,NA,4532,1259,873,734,1466,0.256888964693843,0.0370597944022498,4332
"66","12122",3771,1691,2080,0.291076627393895,NA,NA,NA,NA,NA,3771,1182,470,868,1218,0.299388985488405,0.00831235809451014,3738
"74","122111",33252,1101,32151,0.0748015770609683,NA,NA,NA,NA,NA,33252,98,1074,159,32041,0.0786798592415153,0.00387828218054692,33372
"77","122112",672,78,594,0.156306656306656,NA,NA,NA,NA,NA,672,7,57,32,563,0.055593487394958,0.100713168911698,659
"78","12212",2295,780,1515,0.118545316070069,NA,NA,NA,NA,NA,2295,181,660,118,1451,0.140012837914135,0.021467521844066,2410
"81","1222",1253,354,899,0.0324654512546898,NA,NA,NA,NA,NA,1253,31,333,59,833,0.0190213374069876,0.0134441138477021,1256
