"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"6","111111",19885,2185,17700,0.0435806539192491,NA,NA,NA,NA,NA,19885,89,2060,137,17535,0.0336622348061707,0.00991841911307841,19821
"9","111112",3163,771,2392,0.100886439450134,NA,NA,NA,NA,NA,3163,148,610,154,2113,0.1273194730404,0.0264330335902653,3025
"18","1111211",3164,529,2635,0.142807846963409,NA,NA,NA,NA,NA,3164,94,420,86,2531,0.150017321642835,0.00720947467942634,3131
"19","1111212",2090,1655,435,0.0223078792929819,NA,NA,NA,NA,NA,2090,255,1496,54,323,0.002394993690608,0.0199128856023739,2128
"20","111122",851,301,550,0.265581395348837,NA,NA,NA,NA,NA,851,89,182,43,497,0.248783654503212,0.0167977408456255,811
"24","11121",17089,2273,14816,0.163131776778579,NA,NA,NA,NA,NA,17089,388,1781,422,14523,0.150647409951442,0.0124843668271375,17114
"27","11122",3509,1676,1833,0.117652764811654,NA,NA,NA,NA,NA,3509,414,1252,238,1577,0.117369923175882,0.000282841635771858,3481
"32","11211",25022,775,24247,0.0285638795354796,NA,NA,NA,NA,NA,25022,17,735,15,24422,0.0219925596779909,0.00657131985748871,25189
"37","11212",453,65,388,0.00241871530531325,NA,NA,NA,NA,NA,453,6,56,10,395,0.0720828355236957,0.0696641202183825,467
"40","1122",10758,1708,9050,0.0528566253056788,NA,NA,NA,NA,NA,10758,106,1595,67,9049,0.0549665697513194,0.00210994444564056,10817
"47","121111",10083,2086,7997,0.250895320165004,NA,NA,NA,NA,NA,10083,827,1395,899,6994,0.258288827742523,0.007393507577519,10115
"54","12111211",7659,1024,6635,0.138572967690279,NA,NA,NA,NA,NA,7659,200,844,199,6443,0.161610026061946,0.0230370583716676,7686
"55","12111212",635,110,525,0.281558441558442,NA,NA,NA,NA,NA,635,61,45,133,385,0.318714941356451,0.0371564997980093,624
"56","1211122",1024,199,825,0.277539211207553,NA,NA,NA,NA,NA,1024,76,114,132,694,0.240193704600484,0.0373455066070686,1016
"58","121121",2652,1632,1020,0.00747549019607846,NA,NA,NA,NA,NA,2652,662,881,476,614,-0.00766289903500272,0.0151383892310812,2633
"61","121122",1614,821,793,0.301362561880523,NA,NA,NA,NA,NA,1614,556,264,317,467,0.273712045793927,0.0276505160865954,1604
"65","12121",20260,3635,16625,0.332824358006433,NA,NA,NA,NA,NA,20260,1629,1957,2180,14465,0.32329633096366,0.00952802704277239,20231
"68","12122",6456,2963,3493,0.260987719617433,NA,NA,NA,NA,NA,6456,1936,1188,1358,2217,0.239858169999015,0.0211295496184176,6699
"75","1221111",22708,176,22532,0.016823547923761,NA,NA,NA,NA,NA,22708,9,166,8,22387,0.0510713488342423,0.0342478009104814,22570
"76","1221112",659,64,595,0.055593487394958,NA,NA,NA,NA,NA,659,16,62,29,565,0.156306656306656,0.100713168911698,672
"77","122112",10664,996,9668,0.07945268870268,NA,NA,NA,NA,NA,10664,80,846,186,9570,0.0673278979010092,0.0121247908016708,10682
"78","12212",2410,841,1569,0.140012837914135,NA,NA,NA,NA,NA,2410,163,617,137,1378,0.118545316070069,0.021467521844066,2295
"81","1222",1256,364,892,0.0190213374069876,NA,NA,NA,NA,NA,1256,30,324,47,852,0.0324654512546898,0.0134441138477021,1253
