"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"6","111111",19933,2198,17735,0.0363498046382479,NA,NA,NA,NA,NA,19933,105,2031,143,17494,0.0410493485031787,0.00469954386493074,19773
"9","111112",3040,739,2301,0.112561520877844,NA,NA,NA,NA,NA,3040,146,644,164,2194,0.115259660085247,0.00269813920740324,3148
"18","1111211",3133,518,2615,0.147031899421957,NA,NA,NA,NA,NA,3133,91,434,73,2564,0.145650360257869,0.00138153916408798,3162
"19","1111212",2075,1681,394,0.0276077510063203,NA,NA,NA,NA,NA,2075,260,1465,64,354,-0.00238541016573052,0.0299931611720508,2143
"20","111122",834,280,554,0.250992779783394,NA,NA,NA,NA,NA,834,96,196,35,501,0.263468615824985,0.0124758360415911,828
"24","11121",17693,3459,14234,0.170596419982807,NA,NA,NA,NA,NA,17693,733,2835,518,13915,0.169547245366638,0.00104917461616899,18001
"27","11122",2717,363,2354,0.243569938982004,NA,NA,NA,NA,NA,2717,84,310,150,2238,0.150383899191388,0.0931860397906152,2782
"33","112111",24559,363,24196,0.0186638093767747,NA,NA,NA,NA,NA,24559,8,369,20,24201,0.0203944294125371,0.00173062003576239,24598
"36","112112",408,38,370,-0.0216216216216216,NA,NA,NA,NA,NA,408,3,29,7,325,0.0726656626506024,0.094287284272224,364
"37","11212",585,407,178,-0.0154597907406896,NA,NA,NA,NA,NA,585,18,419,5,175,0.0134121535723366,0.0288719443130263,617
"41","11221",9282,1099,8183,0.0381223773692703,NA,NA,NA,NA,NA,9282,47,926,54,7971,0.0415752418092229,0.00345286443995255,8998
"42","11222",1646,667,979,0.0743040124473004,NA,NA,NA,NA,NA,1646,47,623,23,956,0.046655893159331,0.0276481192879693,1649
"47","121111",10028,2139,7889,0.252237701331785,NA,NA,NA,NA,NA,10028,802,1367,901,7100,0.257144724129401,0.0049070227976159,10170
"54","12111211",7850,1024,6826,0.14423567746484,NA,NA,NA,NA,NA,7850,199,845,225,6226,0.155734713380147,0.0114990359153063,7495
"55","12111212",1013,200,813,0.239188191881919,NA,NA,NA,NA,NA,1013,81,108,125,713,0.279406750767133,0.0402185588852138,1027
"56","1211122",637,113,524,0.318280078362494,NA,NA,NA,NA,NA,637,55,48,132,387,0.279645322408665,0.0386347559538291,622
"58","121121",17781,3280,14501,0.343103503374872,NA,NA,NA,NA,NA,17781,1481,1798,1722,12673,0.332037222354811,0.0110662810200618,17674
"59","121122",2577,327,2250,0.248758409785933,NA,NA,NA,NA,NA,2577,156,179,395,1729,0.279701773617787,0.030943363831854,2459
"62","121211",2640,1579,1061,-0.0114282712725158,NA,NA,NA,NA,NA,2640,696,900,446,603,0.0109234000157686,0.0223516712882845,2645
"65","121212",1587,809,778,0.289554211775622,NA,NA,NA,NA,NA,1587,576,256,325,474,0.285549244247617,0.00400496752800478,1631
"68","12122",6618,3063,3555,0.250384953941904,NA,NA,NA,NA,NA,6618,1878,1146,1303,2210,0.250123690238976,0.000261263702927228,6537
"75","1221111",22601,174,22427,0.0341260457299776,NA,NA,NA,NA,NA,22601,6,171,5,22495,0.0336760828625235,0.000449962867454023,22677
"76","1221112",653,62,591,0.0782708367447192,NA,NA,NA,NA,NA,653,15,65,31,567,0.135660535117057,0.0573896983723377,678
"77","122112",10647,967,9680,0.0703398087293922,NA,NA,NA,NA,NA,10647,89,866,160,9584,0.0767733560295395,0.00643354730014722,10699
"78","12212",2290,792,1498,0.11316266806921,NA,NA,NA,NA,NA,2290,183,646,120,1466,0.145085846147762,0.0319231780785514,2415
"81","1222",1237,359,878,0.0457325778389731,NA,NA,NA,NA,NA,1237,27,332,63,850,0.00620562777826932,0.0395269500607038,1272
