"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"6","111111",20045,2184,17861,0.0412763150851724,NA,NA,NA,NA,NA,20045,94,2056,135,17376,0.0360114904518489,0.0052648246333235,19661
"9","111112",3133,761,2372,0.108581169270043,NA,NA,NA,NA,NA,3133,145,623,159,2128,0.119278690241947,0.0106975209719045,3055
"18","1111211",3188,539,2649,0.152373108205498,NA,NA,NA,NA,NA,3188,86,418,80,2523,0.13990115190653,0.0124719562989675,3107
"19","1111212",2138,1721,417,0.0292800042360069,NA,NA,NA,NA,NA,2138,259,1426,63,332,-0.00578447207301955,0.0350644763090264,2080
"20","111122",859,299,560,0.279061156235069,NA,NA,NA,NA,NA,859,79,194,30,500,0.232773515792384,0.0462876404426855,803
"24","11121",16975,2221,14754,0.161203576566542,NA,NA,NA,NA,NA,16975,405,1816,442,14565,0.152897370691216,0.00830620587532616,17228
"27","11122",3496,1678,1818,0.114524861306154,NA,NA,NA,NA,NA,3496,418,1246,239,1591,0.120600830180748,0.00607596887459375,3494
"34","1121111",23580,251,23329,0.0156361992554451,NA,NA,NA,NA,NA,23580,5,228,10,23593,0.0210355525112378,0.00539935325579274,23836
"35","1121112",9038,1020,8018,0.031161015166855,NA,NA,NA,NA,NA,9038,57,995,51,8139,0.0479554032785972,0.0167943881117422,9242
"36","112112",388,35,353,0.0715499797652772,NA,NA,NA,NA,NA,388,0,35,10,339,-0.0286532951289398,0.100203274894217,384
"37","11212",1743,690,1053,0.052169784053842,NA,NA,NA,NA,NA,1743,67,638,30,966,0.064914979065197,0.0127451950113549,1701
"40","1122",1321,496,825,0.0217448680351906,NA,NA,NA,NA,NA,1321,13,533,13,914,0.0097857913391894,0.0119590766960012,1473
"48","1211111",10828,1468,9360,0.143150166515289,NA,NA,NA,NA,NA,10828,280,1179,265,9080,0.163554858297294,0.0204046917820047,10804
"51","1211112",4931,1154,3777,0.220790435955287,NA,NA,NA,NA,NA,4931,486,682,608,3063,0.250473444211013,0.0296830082557262,4839
"54","121112",3741,893,2848,0.277652261031493,NA,NA,NA,NA,NA,3741,376,463,471,2389,0.283467247889179,0.00581498685768533,3699
"58","121121",2662,1633,1029,0.00693007497811476,NA,NA,NA,NA,NA,2662,659,883,470,611,-0.00741555292392715,0.0143456279020419,2623
"61","121122",1622,824,798,0.271513127478891,NA,NA,NA,NA,NA,1622,562,255,299,480,0.304057079738484,0.0325439522595926,1596
"65","12121",20245,3590,16655,0.332753010672931,NA,NA,NA,NA,NA,20245,1655,1976,2199,14416,0.323447015132756,0.00930599554017497,20246
"69","121221",4467,2217,2250,0.228428206284769,NA,NA,NA,NA,NA,4467,1284,884,768,1461,0.247701797340988,0.019273591056219,4397
"70","121222",2083,830,1253,0.323926191597996,NA,NA,NA,NA,NA,2083,622,250,570,766,0.286656045706752,0.0372701458912446,2208
"73","12211",34034,1185,32849,0.0748024235175068,NA,NA,NA,NA,NA,34034,114,1116,210,32481,0.0862591404660491,0.0114567169485422,33921
"78","12212",2285,790,1495,0.113259387832861,NA,NA,NA,NA,NA,2285,189,642,131,1458,0.144995035817091,0.0317356479842303,2420
"81","1222",1262,349,913,0.0219246352432392,NA,NA,NA,NA,NA,1262,35,334,58,820,0.0287917229969566,0.00686708775371744,1247
