"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"7","1111111",8444,1154,7290,0.0350602544260674,NA,NA,NA,NA,NA,8444,36,1089,41,7124,0.0262777390090719,0.0087825154169955,8290
"8","1111112",11507,1040,10467,0.0539138574714671,NA,NA,NA,NA,NA,11507,53,962,95,10355,0.0431258396775638,0.0107880177939033,11465
"9","111112",3107,770,2337,0.113414356289838,NA,NA,NA,NA,NA,3107,134,625,144,2178,0.114532585715599,0.00111822942576116,3081
"18","1111211",3085,514,2571,0.153709362282386,NA,NA,NA,NA,NA,3085,88,441,73,2608,0.139122960777691,0.0145864015046951,3210
"19","1111212",2047,1655,392,0.0196127998027005,NA,NA,NA,NA,NA,2047,272,1479,63,357,0.00533980582524271,0.0142729939774578,2171
"20","111122",821,285,536,0.257285938727416,NA,NA,NA,NA,NA,821,94,193,39,515,0.257129020490824,0.000156918236591808,841
"24","11121",17111,2172,14939,0.154816727373948,NA,NA,NA,NA,NA,17111,429,1841,443,14379,0.159098779823063,0.00428205244911525,17092
"27","11122",3528,1711,1817,0.104622651128844,NA,NA,NA,NA,NA,3528,427,1204,239,1592,0.131272809951644,0.026650158822799,3462
"33","112111",32944,1320,31624,0.0363293317695038,NA,NA,NA,NA,NA,32944,53,1183,60,31456,0.0409764640018467,0.00464713223234291,32752
"36","112112",365,30,335,-0.0298507462686567,NA,NA,NA,NA,NA,365,3,37,5,362,0.0613760217983651,0.0912267680670218,407
"37","11212",1717,707,1010,0.0545968882602546,NA,NA,NA,NA,NA,1717,61,627,27,1012,0.0626762651923809,0.00807937693212628,1727
"40","1122",1371,535,836,0.00635648168850333,NA,NA,NA,NA,NA,1371,18,489,10,906,0.0245859280121961,0.0182294463236927,1423
"49","12111111",3179,447,2732,0.136590610577758,NA,NA,NA,NA,NA,3179,88,324,71,2625,0.187256921437008,0.0506663108592507,3108
"50","12111112",3846,946,2900,0.231623532842458,NA,NA,NA,NA,NA,3846,398,589,504,2393,0.229269072327555,0.00235446051490285,3884
"51","1211112",3072,766,2306,0.268994042106074,NA,NA,NA,NA,NA,3072,336,414,347,2012,0.300903772785078,0.0319097306790048,3109
"52","121112",9343,1321,8022,0.185691656800725,NA,NA,NA,NA,NA,9343,333,1019,457,7492,0.188810266782097,0.00311860998137226,9301
"57","12112",20296,3690,16606,0.327891117162406,NA,NA,NA,NA,NA,20296,1613,1918,2143,14521,0.32821052557874,0.000319408416333877,20195
"62","121211",2619,1540,1079,-0.0172237401153064,NA,NA,NA,NA,NA,2619,727,908,442,589,0.0159383277421345,0.0331620678574409,2666
"65","121212",1584,786,798,0.265874610189596,NA,NA,NA,NA,NA,1584,608,247,314,465,0.308030238197119,0.0421556280075227,1634
"68","12122",6598,3068,3530,0.237380286684075,NA,NA,NA,NA,NA,6598,1911,1108,1308,2230,0.263290660937485,0.0259103742534095,6557
"75","1221111",22482,175,22307,0.0397310261352939,NA,NA,NA,NA,NA,22482,5,171,7,22613,0.0280996302548027,0.0116313958804912,22796
"76","1221112",10654,999,9655,0.0744846348160693,NA,NA,NA,NA,NA,10654,83,840,170,9599,0.0725221744730135,0.00196246034305581,10692
"77","122112",690,70,620,0.124654377880184,NA,NA,NA,NA,NA,690,11,61,32,537,0.0965387619605546,0.0281156159196297,641
"78","12212",2368,816,1552,0.122763796240146,NA,NA,NA,NA,NA,2368,176,629,126,1406,0.136388109563271,0.0136243133231258,2337
"81","1222",1286,377,909,0.0261225061498192,NA,NA,NA,NA,NA,1286,30,311,55,827,0.0256182629454519,0.000504243204367337,1223
