"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"7","1111111",8290,1125,7165,0.0262777390090719,NA,NA,NA,NA,NA,8290,46,1108,35,7255,0.0350602544260674,0.0087825154169955,8444
"8","1111112",11465,1015,10450,0.0431258396775638,NA,NA,NA,NA,NA,11465,67,973,110,10357,0.0539138574714671,0.0107880177939033,11507
"9","111112",3081,759,2322,0.114532585715599,NA,NA,NA,NA,NA,3081,144,626,172,2165,0.113414356289838,0.00111822942576116,3107
"18","1111211",3210,529,2681,0.139122960777691,NA,NA,NA,NA,NA,3210,96,418,85,2486,0.153709362282386,0.0145864015046951,3085
"19","1111212",2171,1751,420,0.00533980582524271,NA,NA,NA,NA,NA,2171,252,1403,52,340,0.0196127998027005,0.0142729939774578,2047
"20","111122",841,287,554,0.257129020490824,NA,NA,NA,NA,NA,841,93,192,37,499,0.257285938727416,0.000156918236591808,821
"23","1112",20554,3901,16653,0.178477333212773,NA,NA,NA,NA,NA,20554,784,3099,627,16129,0.164486311136921,0.013991022075852,20639
"34","1121111",23691,238,23453,0.0123492112062494,NA,NA,NA,NA,NA,23691,6,240,11,23468,0.0239217401331132,0.0115725289268638,23725
"35","1121112",894,125,769,-0.00240312093628088,NA,NA,NA,NA,NA,894,5,126,10,706,0.0242014584843703,0.0266045794206512,847
"36","112112",530,383,147,0.0307809807996306,NA,NA,NA,NA,NA,530,8,396,5,115,-0.0218646864686469,0.0526456672682774,524
"37","11212",479,74,405,0.0502836169502836,NA,NA,NA,NA,NA,479,3,50,14,374,0.0205212993581015,0.0297623175921821,441
"40","1122",10715,1651,9064,0.0573047948153062,NA,NA,NA,NA,NA,10715,102,1656,66,9036,0.0507693242230827,0.00653547059222358,10860
"49","12111111",3108,412,2696,0.187256921437008,NA,NA,NA,NA,NA,3108,73,374,73,2659,0.136590610577758,0.0506663108592507,3179
"50","12111112",3109,750,2359,0.300903772785078,NA,NA,NA,NA,NA,3109,316,450,331,1975,0.268994042106074,0.0319097306790048,3072
"51","1211112",17671,3202,14469,0.339245648227063,NA,NA,NA,NA,NA,17671,1539,1818,1768,12659,0.335897039937219,0.0033486082898439,17784
"52","121112",3884,987,2897,0.229269072327555,NA,NA,NA,NA,NA,3884,377,569,484,2416,0.231623532842458,0.00235446051490285,3846
"56","12112111",7697,1048,6649,0.139217829921046,NA,NA,NA,NA,NA,7697,195,825,197,6431,0.16145408072704,0.0222362508059939,7648
"57","12112112",2524,329,2195,0.248317881895161,NA,NA,NA,NA,NA,2524,158,175,424,1755,0.279889802606645,0.0315719207114842,2512
"58","1211212",613,106,507,0.335268505079826,NA,NA,NA,NA,NA,613,59,51,145,391,0.265841248303935,0.0694272567758909,646
"59","121122",991,198,793,0.310813048517967,NA,NA,NA,NA,NA,991,71,120,142,716,0.206226583189934,0.104586465328033,1049
"62","121211",2666,1635,1031,0.0159383277421345,NA,NA,NA,NA,NA,2666,640,900,467,612,-0.0172237401153064,0.0331620678574409,2619
"65","121212",4400,2187,2213,0.249188866305456,NA,NA,NA,NA,NA,4400,1258,940,783,1483,0.226795682828087,0.0223931834773691,4464
"66","12122",3791,1687,2104,0.314789792666353,NA,NA,NA,NA,NA,3791,1156,500,872,1190,0.275177235178079,0.039612557488274,3718
"75","1221111",22796,176,22620,0.0280996302548027,NA,NA,NA,NA,NA,22796,7,168,6,22301,0.0397310261352939,0.0116313958804912,22482
"76","1221112",10692,923,9769,0.0725221744730135,NA,NA,NA,NA,NA,10692,92,907,170,9485,0.0744846348160693,0.00196246034305581,10654
"77","122112",641,72,569,0.0965387619605546,NA,NA,NA,NA,NA,641,12,58,29,591,0.124654377880184,0.0281156159196297,690
"78","12212",2337,805,1532,0.136388109563271,NA,NA,NA,NA,NA,2337,168,648,129,1423,0.122763796240146,0.0136243133231258,2368
"81","1222",1223,341,882,0.0256182629454519,NA,NA,NA,NA,NA,1223,31,346,51,858,0.0261225061498192,0.000504243204367337,1286
