"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"6","111111",19878,2218,17660,0.0370406036474965,NA,NA,NA,NA,NA,19878,100,2016,123,17589,0.0403145347616047,0.00327393111410821,19828
"9","111112",3080,748,2332,0.126374735142771,NA,NA,NA,NA,NA,3080,136,645,168,2159,0.101939762967381,0.0244349721753895,3108
"18","1111211",3152,499,2653,0.121396203639847,NA,NA,NA,NA,NA,3152,108,436,76,2523,0.169287395604644,0.0478911919647977,3143
"19","1111212",2098,1700,398,0.0233047590895655,NA,NA,NA,NA,NA,2098,258,1448,62,352,0.00147249548340328,0.0218322636061622,2120
"20","111122",836,285,551,0.24464609800363,NA,NA,NA,NA,NA,836,94,193,31,508,0.270012217747409,0.0253661197437796,826
"24","11121",17172,2206,14966,0.1550156177514,NA,NA,NA,NA,NA,17172,416,1820,399,14396,0.159077941164913,0.0040623234135127,17031
"27","11122",3500,1673,1827,0.115391397746036,NA,NA,NA,NA,NA,3500,416,1253,236,1585,0.119651927170166,0.00426052942412974,3490
"33","112111",32855,1256,31599,0.0403935976769401,NA,NA,NA,NA,NA,32855,50,1250,52,31489,0.0368128906697754,0.00358070700716475,32841
"36","112112",364,35,329,0.00121580547112462,NA,NA,NA,NA,NA,364,2,33,6,367,0.0410570662581386,0.039841260787014,408
"37","11212",1719,712,1007,0.0574573491179719,NA,NA,NA,NA,NA,1719,62,621,32,1010,0.0600658155422476,0.00260846642427563,1725
"40","1122",1412,519,893,0.026711718417924,NA,NA,NA,NA,NA,1412,9,514,11,848,0.00440282510901333,0.0223088933089107,1382
"48","1211111",10857,1497,9360,0.165141179795488,NA,NA,NA,NA,NA,10857,247,1183,296,9049,0.141052580378423,0.0240885994170653,10775
"51","1211112",4955,1205,3750,0.234163208852006,NA,NA,NA,NA,NA,4955,457,660,635,3063,0.237417162268748,0.00325395341674239,4815
"54","121112",3695,860,2835,0.277055904187687,NA,NA,NA,NA,NA,3695,385,487,453,2420,0.283838857186651,0.0067829529989637,3745
"58","121121",2662,1603,1059,-0.00574937101527645,NA,NA,NA,NA,NA,2662,689,883,455,596,0.00537413780163326,0.0111235088169097,2623
"61","121122",1600,803,797,0.303276139820716,NA,NA,NA,NA,NA,1600,569,269,317,463,0.272587356954899,0.0306887828658174,1618
"65","12121",20256,3566,16690,0.33181555917061,NA,NA,NA,NA,NA,20256,1649,2006,2099,14481,0.324564479479339,0.00725107969127131,20235
"68","12122",6484,2992,3492,0.267756782500567,NA,NA,NA,NA,NA,6484,1905,1190,1367,2209,0.233238191786565,0.0345185907140017,6671
"75","1221111",22581,165,22416,0.0238855363052365,NA,NA,NA,NA,NA,22581,8,178,5,22506,0.0427886390548372,0.0189031027496007,22697
"76","1221112",10657,918,9739,0.0695475438352772,NA,NA,NA,NA,NA,10657,94,910,158,9527,0.0773116105531411,0.00776406671786387,10689
"77","122112",689,73,616,0.117305639565914,NA,NA,NA,NA,NA,689,11,58,32,541,0.103573867516504,0.01373177204941,642
"78","12212",2342,818,1524,0.150702051607852,NA,NA,NA,NA,NA,2342,159,644,140,1420,0.108263882236485,0.0424381693713672,2363
"81","1222",1220,357,863,0.0232950654189834,NA,NA,NA,NA,NA,1220,32,329,56,872,0.0282978316935715,0.00500276627458814,1289
