"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"7","1111111",8338,1151,7187,0.026546386424857,NA,NA,NA,NA,NA,8338,46,1082,42,7226,0.0350013856524471,0.00845499922759011,8396
"8","1111112",11323,999,10324,0.0482750282246601,NA,NA,NA,NA,NA,11323,62,994,104,10489,0.0488943170017936,0.000619288777133492,11649
"9","111112",3055,768,2287,0.119278690241947,NA,NA,NA,NA,NA,3055,133,628,157,2215,0.108581169270043,0.0106975209719045,3133
"17","111121",3596,543,3053,0.144040912570373,NA,NA,NA,NA,NA,3596,106,474,110,3005,0.147445619084519,0.00340470651414598,3695
"20","111122",2394,1919,475,0.0172381448671183,NA,NA,NA,NA,NA,2394,365,1614,66,445,0.0552780714132441,0.0380399265461258,2490
"25","111211",15179,2080,13099,0.152621860447362,NA,NA,NA,NA,NA,15179,393,1671,320,12543,0.165529420964041,0.012907560516679,14927
"26","111212",2797,1442,1355,0.107014140876499,NA,NA,NA,NA,NA,2797,330,1111,155,1195,0.114192818772971,0.00717867789647253,2791
"27","11122",2746,363,2383,0.217937202105363,NA,NA,NA,NA,NA,2746,94,300,153,2206,0.173720689529031,0.0442165125763317,2753
"34","1121111",23836,233,23603,0.0210355525112378,NA,NA,NA,NA,NA,23836,4,247,7,23322,0.0156361992554451,0.00539935325579274,23580
"35","1121112",384,35,349,-0.0286532951289398,NA,NA,NA,NA,NA,384,3,32,5,348,0.0715499797652772,0.100203274894217,388
"36","112112",69,25,44,0.0290909090909091,NA,NA,NA,NA,NA,69,2,31,2,45,0.0180528691166989,0.0110380399742102,80
"37","11212",10874,1732,9142,0.0614387672458612,NA,NA,NA,NA,NA,10874,90,1587,68,8956,0.0461318019766808,0.0153069652691804,10701
"40","1122",1473,546,927,0.0097857913391894,NA,NA,NA,NA,NA,1473,18,478,12,813,0.0217448680351906,0.0119590766960012,1321
"47","121111",10071,2129,7942,0.264480364275568,NA,NA,NA,NA,NA,10071,785,1394,915,7033,0.245133697163735,0.0193466671118331,10127
"52","121112",17743,3293,14450,0.331951302805469,NA,NA,NA,NA,NA,17743,1505,1761,1699,12747,0.343197917043763,0.0112466142382948,17712
"56","12112111",7683,1043,6640,0.160017731520521,NA,NA,NA,NA,NA,7683,176,849,209,6428,0.14021718598985,0.0198005455306712,7662
"57","12112112",636,105,531,0.305676620930858,NA,NA,NA,NA,NA,636,61,50,131,381,0.29369017454955,0.0119864463813086,623
"58","1211212",952,189,763,0.28187952041163,NA,NA,NA,NA,NA,952,82,118,152,736,0.238828828828829,0.0430506915828016,1088
"59","121122",2503,338,2165,0.263835631414242,NA,NA,NA,NA,NA,2503,150,174,437,1772,0.265135891890079,0.00130026047583714,2533
"62","121211",2623,1542,1081,-0.00741555292392715,NA,NA,NA,NA,NA,2623,708,925,439,590,0.00693007497811476,0.0143456279020419,2662
"65","121212",1596,817,779,0.304057079738484,NA,NA,NA,NA,NA,1596,581,243,346,452,0.271513127478891,0.0325439522595926,1622
"68","12122",6605,3040,3565,0.251658116188086,NA,NA,NA,NA,NA,6605,1884,1163,1294,2209,0.24891543569809,0.00274268048999576,6550
"75","1221111",22600,168,22432,0.0353576523334013,NA,NA,NA,NA,NA,22600,6,177,5,22490,0.032564613629987,0.00279303870341427,22678
"76","1221112",10653,984,9669,0.075396855426823,NA,NA,NA,NA,NA,10653,83,855,165,9590,0.0715717378546238,0.00382511757219917,10693
"77","122112",668,78,590,0.159365493263798,NA,NA,NA,NA,NA,668,7,57,34,565,0.0526137312186978,0.106751762045101,663
"78","12212",2420,831,1589,0.144995035817091,NA,NA,NA,NA,NA,2420,155,635,124,1371,0.113259387832861,0.0317356479842303,2285
"81","1222",1247,369,878,0.0287917229969566,NA,NA,NA,NA,NA,1247,26,323,48,865,0.0219246352432392,0.00686708775371744,1262
