"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"6","111111",19786,2119,17667,0.0387582685961591,NA,NA,NA,NA,NA,19786,102,2113,132,17573,0.0385941403602941,0.000164128235865056,19920
"9","111112",3060,731,2329,0.112304911779684,NA,NA,NA,NA,NA,3060,146,652,157,2173,0.115575419234782,0.00327050745509835,3128
"18","1111211",3115,502,2613,0.140777113513036,NA,NA,NA,NA,NA,3115,97,444,73,2566,0.151635603863279,0.0108584903502438,3180
"19","1111212",2147,1739,408,0.0249354485900168,NA,NA,NA,NA,NA,2147,259,1408,63,341,-0.000571667844648904,0.0255071164346657,2071
"20","111122",844,295,549,0.266679015775987,NA,NA,NA,NA,NA,844,82,195,27,514,0.2461213023082,0.0205577134677867,818
"23","1112",20551,3889,16662,0.163526517689803,NA,NA,NA,NA,NA,20551,857,3038,679,16068,0.179481098793162,0.0159545811033595,20642
"33","112111",23693,237,23456,0.0122318976980331,NA,NA,NA,NA,NA,23693,6,242,7,23469,0.0238953715256212,0.0116634738275882,23724
"34","112112",481,59,422,0.0440999277050366,NA,NA,NA,NA,NA,481,4,64,11,360,0.0291739337244332,0.0149259939806034,439
"37","11212",10854,1670,9184,0.0502442414821924,NA,NA,NA,NA,NA,10854,116,1623,84,8898,0.057352965467066,0.0071087239848736,10721
"40","1122",1343,532,811,0.00782010513336362,NA,NA,NA,NA,NA,1343,17,493,10,931,0.0227063407722281,0.0148862356388645,1451
"48","1211111",10753,1472,9281,0.151183840993521,NA,NA,NA,NA,NA,10753,269,1186,277,9147,0.155486686036675,0.00430284504315356,10879
"51","1211112",4976,1201,3775,0.226383311919978,NA,NA,NA,NA,NA,4976,468,653,631,3042,0.245690215238475,0.0193069033184966,4794
"54","121112",3801,933,2868,0.275810921712925,NA,NA,NA,NA,NA,3801,365,434,483,2357,0.286750603747642,0.0109396820347173,3639
"58","121121",2670,1585,1085,0.0226198956228467,NA,NA,NA,NA,NA,2670,684,906,466,559,-0.0244454670961804,0.0470653627190271,2615
"61","121122",1630,839,791,0.286964946831834,NA,NA,NA,NA,NA,1630,566,236,328,458,0.288432861865692,0.00146791503385768,1588
"65","12121",20115,3556,16559,0.321690426114454,NA,NA,NA,NA,NA,20115,1702,1963,2174,14537,0.33429895577355,0.0126085296590955,20376
"68","12122",6571,3058,3513,0.24875436968956,NA,NA,NA,NA,NA,6571,1909,1120,1345,2210,0.251900637949424,0.00314626825986369,6584
"73","12211",34112,1244,32868,0.0750134905792908,NA,NA,NA,NA,NA,34112,109,1062,211,32461,0.0866247058985891,0.0116112153192983,33843
"78","12212",2317,813,1504,0.124760376593128,NA,NA,NA,NA,NA,2317,175,633,130,1450,0.134305677403183,0.00954530081005574,2388
"81","1222",1245,362,883,0.0184579190729745,NA,NA,NA,NA,NA,1245,33,323,54,854,0.0332252635747166,0.0147673445017422,1264
