"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"2","11",9656,4819,4837,0.0115809419016785,NA,NA,NA,NA,NA,9656,527,4276,476,4325,0.0105770784879252,0.00100386341375328,9604
"425","12",11691,5891,5800,0.0810438483016173,NA,NA,NA,NA,NA,11691,1074,4800,690,5178,0.0652527202123949,0.0157911280892224,11742
