"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"2","11",9604,4803,4801,0.0105770784879252,NA,NA,NA,NA,NA,9604,540,4279,486,4351,0.0115809419016785,0.00100386341375328,9656
"437","12",11742,5874,5868,0.0652527202123949,NA,NA,NA,NA,NA,11742,1097,4794,610,5190,0.0810438483016173,0.0157911280892224,11691
