,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,,,0.0,,,,,,,1.0,0.4967,2027,2064,2344,12319,0.4954778782693718,0.1598581463547705,0.33561973191460126,0.16108026808539871,18754
1,,,,,0.0,,,,0.0,,0.0,0.0,0.218978,34,96,25,430,0.26153846153846155,0.054945054945054944,0.2065934065934066,0.012384593406593397,585
2,0.0,,0.0,0.0,1.0,,,1.0,1.0,0.0,,,0.62253,350,194,246,502,0.6433823529411765,0.32887700534759357,0.31450534759358295,0.3080246524064171,1292
3,,,,,0.0,,,0.0,1.0,,0.0,0.0,0.524138,99,106,43,265,0.48292682926829267,0.1396103896103896,0.34331643965790304,0.18082156034209695,513
4,0.0,,0.0,0.0,1.0,,,0.0,1.0,0.0,,,0.527473,46,44,45,118,0.5111111111111111,0.27607361963190186,0.23503749147920922,0.29243550852079075,253
5,,,,,0.0,,,1.0,1.0,,0.0,0.0,0.575,114,103,104,657,0.5253456221198156,0.1366622864651774,0.3886833356546382,0.18631666434536176,978
6,,,0.0,0.0,1.0,,,,1.0,1.0,0.0,,0.611111,76,39,46,64,0.6608695652173913,0.41818181818181815,0.2426877470355731,0.36842325296442685,225
7,1.0,0.0,0.0,0.0,1.0,,,,1.0,0.0,,,0.125,12,92,25,221,0.11538461538461539,0.1016260162601626,0.013758599124452792,0.11124140087554721,350
8,,,0.0,0.0,1.0,,,,0.0,,,,0.271255,148,365,50,661,0.2884990253411306,0.07032348804500703,0.21817553729612355,0.05307946270387648,1224
9,,,,,0.0,,,,,0.0,1.0,0.0,0.14,6,42,10,189,0.125,0.05025125628140704,0.07474874371859297,0.06525125628140704,247
