,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,0.0,,,0.0,,,,,,,1.0,0.4924,1921,1948,2142,11357,0.49651072628586196,0.1586784206237499,0.3378323056621121,0.15456769433788792,17368
1,,,,,,,,0.0,1.0,,,,0.5,141,124,88,372,0.5320754716981132,0.19130434782608696,0.34077112387202624,0.15922887612797376,725
2,,,,,0.0,,,,,0.0,1.0,0.0,0.09434,8,37,8,192,0.17777777777777778,0.04,0.13777777777777778,0.043437777777777783,245
3,,,,,0.0,,,,0.0,,0.0,0.0,0.221374,35,101,25,413,0.25735294117647056,0.05707762557077625,0.2002753156056943,0.021098684394305678,574
4,0.0,,0.0,0.0,1.0,,,1.0,1.0,,,,0.638844,390,216,286,538,0.6435643564356436,0.3470873786407767,0.29647697779486687,0.3423670222051331,1430
5,,,,,0.0,,,1.0,1.0,,0.0,0.0,0.540404,122,97,110,666,0.5570776255707762,0.14175257731958762,0.4153250482511886,0.1250789517488114,995
6,0.0,1.0,,,0.0,,,,,0.0,1.0,1.0,0.322034,35,49,29,384,0.4166666666666667,0.07021791767554479,0.3464487489911219,0.024414748991121893,497
7,0.0,,0.0,0.0,1.0,,,,0.0,,,,0.320513,142,256,62,508,0.35678391959798994,0.10877192982456141,0.24801198977342853,0.07250101022657146,968
8,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.085714,23,194,31,410,0.10599078341013825,0.07029478458049887,0.03569599882963938,0.05001800117036062,658
9,0.0,1.0,,0.0,0.0,,,,,,0.0,1.0,0.589928,79,62,99,450,0.5602836879432624,0.18032786885245902,0.37995581909080345,0.20997218090919656,690
10,0.0,1.0,0.0,1.0,0.0,,,,,,0.0,1.0,0.605634,57,38,43,133,0.6,0.24431818181818182,0.35568181818181815,0.24995218181818185,271
