,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,,0.0,,,,,1.0,,,1.0,0.571429,462,316,366,944,0.5938303341902313,0.27938931297709924,0.3144410212131321,0.25698797878686785,2088
1,,,,,0.0,,,,1.0,,,,0.5,157,135,93,449,0.5376712328767124,0.17158671586715868,0.3660845170095537,0.1339154829904463,834
2,,,,,0.0,,,,0.0,,,0.0,0.236111,37,131,30,526,0.22023809523809523,0.0539568345323741,0.16628126070572113,0.06982973929427885,724
3,,,,,0.0,,,1.0,1.0,,,0.0,0.517544,115,100,119,724,0.5348837209302325,0.14116251482799524,0.39372120610223726,0.12382279389776274,1058
4,,0.0,,,0.0,,,,,,,1.0,0.491512,1918,1938,2211,11372,0.4974066390041494,0.16277700066259296,0.33462963834155646,0.15688236165844355,17439
5,,,0.0,0.0,1.0,,,0.0,1.0,,,1.0,0.555556,34,40,39,158,0.4594594594594595,0.19796954314720813,0.2614899163122514,0.29406608368774867,271
6,0.0,1.0,,,0.0,,,,0.0,,,1.0,0.12,13,43,24,356,0.23214285714285715,0.06315789473684211,0.16898496240601504,0.04898496240601505,436
7,,,0.0,0.0,1.0,,,,0.0,,,1.0,0.292308,134,357,60,605,0.2729124236252546,0.09022556390977443,0.18268685971548015,0.10962114028451986,1156
8,0.0,1.0,0.0,,0.0,,,,1.0,0.0,1.0,1.0,0.54902,21,38,21,123,0.3559322033898305,0.14583333333333334,0.21009887005649716,0.33892112994350276,203
9,,,0.0,0.0,1.0,,,,,,,0.0,0.410256,61,65,14,71,0.48412698412698413,0.16470588235294117,0.3194211017740429,0.09083489822595708,211
