,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,0.0,,0.0,0.0,1.0,,,1.0,1.0,,,,0.652582,371,219,262,526,0.6288135593220339,0.33248730964467005,0.2963262496773638,0.3562557503226362,1378
1,,,,,0.0,,,,,,,0.0,0.421667,228,304,174,1533,0.42857142857142855,0.10193321616871705,0.3266382124027115,0.0950287875972885,2239
2,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.101695,17,174,25,371,0.08900523560209424,0.06313131313131314,0.025873922470781102,0.07582107752921889,587
3,,0.0,,,0.0,,,,,,,1.0,0.495115,1925,1973,2176,11408,0.49384299640841456,0.160188457008245,0.33365453940016954,0.1614604605998305,17482
4,0.0,,0.0,0.0,1.0,,,0.0,1.0,,,,0.540816,56,47,39,117,0.5436893203883495,0.25,0.2936893203883495,0.24712667961165047,259
5,0.0,1.0,,,0.0,,,,,0.0,1.0,1.0,0.353535,38,65,22,417,0.36893203883495146,0.05011389521640091,0.31881814361855054,0.034716856381449446,542
6,0.0,,0.0,0.0,1.0,,,,0.0,,,,0.351145,129,266,75,511,0.3265822784810127,0.12798634812286688,0.1985959303581458,0.1525490696418542,981
7,0.0,1.0,0.0,,0.0,,,,,,0.0,1.0,0.59596,69,60,79,230,0.5348837209302325,0.255663430420712,0.2792202905095205,0.3167397094904795,438
8,0.0,1.0,1.0,0.0,0.0,,,,,,0.0,1.0,0.54717,75,37,77,326,0.6696428571428571,0.19106699751861042,0.47857585962424665,0.0685941403757534,515
