,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,0.0,0.0,1.0,,,,1.0,0.0,,,0.569252,370,323,316,819,0.5339105339105339,0.27841409691629954,0.25549643699423435,0.3137555630057656,1828
1,,,,,0.0,,,,,,,1.0,0.499877,2105,2169,2312,12344,0.4925128685072532,0.15775109170305676,0.3347617768041964,0.16511522319580363,18930
2,,,,,0.0,,,,0.0,,,0.0,0.166667,45,111,25,535,0.28846153846153844,0.044642857142857144,0.24381868131868129,0.07715168131868128,716
3,,,,,0.0,,0.0,0.0,1.0,,,0.0,0.24,17,29,22,173,0.3695652173913043,0.11282051282051282,0.2567447045707915,0.016744704570791524,241
4,,,0.0,0.0,1.0,,,,1.0,1.0,0.0,,0.598214,75,36,43,59,0.6756756756756757,0.4215686274509804,0.25410704822469526,0.34410695177530476,213
5,,,,,0.0,,,1.0,1.0,,,0.0,0.571429,97,108,106,706,0.47317073170731705,0.13054187192118227,0.3426288597861348,0.2288001402138652,1017
6,0.0,,0.0,0.0,1.0,,,1.0,0.0,,,,0.352601,98,198,53,344,0.3310810810810811,0.13350125944584382,0.19757982163523727,0.15502117836476273,693
7,0.0,,0.0,0.0,1.0,,,0.0,0.0,,,,0.364865,20,52,16,174,0.2777777777777778,0.08421052631578947,0.19356725146198833,0.17129774853801166,262
8,1.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.056604,9,104,2,162,0.07964601769911504,0.012195121951219513,0.06745089574789553,0.010846895747895532,277
9,,,,,0.0,,1.0,0.0,1.0,,,0.0,0.540741,75,71,25,73,0.5136986301369864,0.25510204081632654,0.2585965893206598,0.2821444106793402,244
