,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,,,0.0,,,,,,,1.0,0.502257,2020,2104,2316,12378,0.489815712900097,0.15761535320538997,0.33220035969470707,0.17005664030529288,18818
1,0.0,,0.0,0.0,1.0,,,0.0,1.0,0.0,,,0.46875,49,36,41,113,0.5764705882352941,0.2662337662337662,0.31023682200152786,0.15851317799847214,239
2,0.0,,0.0,0.0,1.0,,,1.0,1.0,0.0,,,0.656627,338,214,244,522,0.6123188405797102,0.3185378590078329,0.2937809815718773,0.36284601842812264,1318
3,,,,,0.0,,,0.0,,,0.0,0.0,0.386179,110,128,56,396,0.46218487394957986,0.12389380530973451,0.33829106863984537,0.04788793136015462,690
4,1.0,0.0,0.0,0.0,1.0,,,,1.0,0.0,,,0.122449,10,76,21,215,0.11627906976744186,0.08898305084745763,0.027296018919984233,0.09515298108001577,322
5,,,,,0.0,,,1.0,0.0,,0.0,0.0,0.271429,15,48,17,281,0.23809523809523808,0.05704697986577181,0.18104825822946627,0.0903807417705337,361
6,,,,,0.0,,,1.0,1.0,,0.0,0.0,0.572139,114,102,89,673,0.5277777777777778,0.1167979002624672,0.4109798775153106,0.16115912248468933,978
7,0.0,,0.0,0.0,1.0,,,1.0,0.0,,,,0.339339,107,202,43,347,0.34627831715210355,0.11025641025641025,0.2360219068956933,0.1033170931043067,699
8,,,,,0.0,,,,,0.0,1.0,0.0,0.078431,9,38,8,204,0.19148936170212766,0.03773584905660377,0.1537535126455239,0.07532251264552389,259
9,,,0.0,0.0,1.0,,,,1.0,1.0,0.0,,0.631148,65,36,36,57,0.6435643564356436,0.3870967741935484,0.2564675822420952,0.37468041775790484,194
10,1.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.045045,10,98,2,179,0.09259259259259259,0.011049723756906077,0.08154286883568651,0.03649786883568651,289
11,0.0,,0.0,0.0,1.0,,,0.0,0.0,,,,0.325,21,45,17,172,0.3181818181818182,0.08994708994708994,0.22823472823472823,0.09676527176527178,255
