,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,0.0,,0.0,0.0,1.0,,,1.0,1.0,0.0,,,0.633397,335,194,252,489,0.6332703213610587,0.340080971659919,0.29318934970113963,0.34020765029886035,1270
1,,,,,0.0,,,,0.0,,,0.0,0.174825,46,123,37,543,0.27218934911242604,0.06379310344827586,0.20839624566415016,0.03357124566415015,749
2,0.0,,0.0,0.0,1.0,,,0.0,,0.0,,,0.416667,67,85,49,281,0.4407894736842105,0.1484848484848485,0.292304625199362,0.124362374800638,482
3,,0.0,,,0.0,,,,,,,1.0,0.487497,1909,1897,2142,11447,0.5015764582238571,0.1576274928250791,0.343948965398778,0.143548034601222,17395
4,,,1.0,0.0,0.0,,,,1.0,,,0.0,0.504792,146,170,106,837,0.4620253164556962,0.11240721102863202,0.3496181054270642,0.15517389457293584,1259
5,,,0.0,,0.0,,,,1.0,,,0.0,0.493827,66,44,40,151,0.6,0.2094240837696335,0.39057591623036647,0.10325108376963354,301
6,0.0,1.0,0.0,,0.0,,,,,,,1.0,0.487952,100,94,89,432,0.5154639175257731,0.1708253358925144,0.3446385816332588,0.14331341836674122,715
7,0.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.503356,78,61,83,528,0.5611510791366906,0.13584288052373159,0.425308198612959,0.07804780138704104,750
8,0.0,,0.0,0.0,1.0,,,1.0,0.0,0.0,,,0.346939,89,171,43,304,0.3423076923076923,0.1239193083573487,0.2183883839503436,0.1285506160496564,607
9,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.093137,22,201,25,407,0.09865470852017937,0.05787037037037037,0.040784338149808995,0.052352661850191,655
10,0.0,,0.0,0.0,1.0,,,,,1.0,0.0,,0.55,94,60,37,47,0.6103896103896104,0.44047619047619047,0.1699134199134199,0.38008658008658014,238
