,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,0.0,,0.0,0.0,1.0,,,1.0,1.0,0.0,,,0.634652,328,191,243,498,0.6319845857418112,0.32793522267206476,0.3040493630697464,0.3306026369302536,1260
1,0.0,,0.0,0.0,1.0,,,0.0,1.0,0.0,,,0.531646,52,50,35,111,0.5098039215686274,0.23972602739726026,0.2700778941713672,0.26156810582863277,248
2,,,,,0.0,,,,,0.0,1.0,0.0,0.109091,7,36,7,185,0.16279069767441862,0.036458333333333336,0.12633236434108527,0.01724136434108528,235
3,,0.0,,,0.0,,,,,,,1.0,0.494327,1883,1924,2121,11421,0.49461518255844494,0.1566238369517058,0.33799134560673916,0.15633565439326086,17349
4,,,,,0.0,,,,,,,,0.5,168,150,141,774,0.5283018867924528,0.1540983606557377,0.37420352613671515,0.12579647386328485,1233
5,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.105727,17,183,30,402,0.085,0.06944444444444445,0.015555555555555559,0.09017144444444444,632
6,,,,,0.0,,,1.0,1.0,,0.0,0.0,0.581281,111,103,107,671,0.5186915887850467,0.13753213367609254,0.3811594551089542,0.20012154489104583,992
7,,,,,0.0,,,,0.0,,0.0,0.0,0.248227,29,97,23,450,0.23015873015873015,0.048625792811839326,0.18153293734689083,0.06669406265310918,599
8,0.0,,0.0,0.0,1.0,,,,,1.0,0.0,,0.570312,98,68,45,65,0.5903614457831325,0.4090909090909091,0.18127053669222343,0.3890414633077766,276
9,0.0,1.0,0.0,,0.0,,,,,,,1.0,0.491525,94,89,92,439,0.5136612021857924,0.17325800376647835,0.340403198419314,0.151121801580686,714
10,0.0,,0.0,0.0,1.0,,,,0.0,0.0,,,0.355685,112,238,57,476,0.32,0.10694183864915573,0.21305816135084427,0.1426268386491557,883
