,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,0.0,,,0.0,,,,,,,1.0,0.497335,1934,1999,2130,11343,0.49173658784642765,0.15809396570919618,0.3336426221372315,0.16369237786276852,17406
1,,,,,0.0,,,0.0,,,,0.0,0.379447,115,161,56,445,0.4166666666666667,0.11177644710578842,0.30489021956087825,0.07455678043912173,777
2,,,0.0,0.0,1.0,,,,1.0,1.0,0.0,,0.62037,75,40,42,56,0.6521739130434783,0.42857142857142855,0.22360248447204972,0.39676751552795025,213
3,0.0,,0.0,0.0,1.0,,,0.0,1.0,0.0,,,0.56044,43,47,39,112,0.4777777777777778,0.2582781456953642,0.21949963208241358,0.3409403679175865,241
4,0.0,,0.0,0.0,1.0,,,1.0,1.0,0.0,,,0.654076,336,211,244,471,0.6142595978062158,0.3412587412587413,0.27300085654747447,0.3810751434525255,1262
5,,,,,0.0,,,1.0,0.0,,,0.0,0.246914,17,62,18,348,0.21518987341772153,0.04918032786885246,0.16600954554886907,0.08090445445113092,445
6,,,,,0.0,,0.0,1.0,1.0,,,0.0,0.3,18,35,40,482,0.33962264150943394,0.07662835249042145,0.2629942890190125,0.03700571098098748,575
7,0.0,1.0,0.0,,0.0,,,,,,,1.0,0.488889,93,87,81,409,0.5166666666666667,0.1653061224489796,0.35136054421768714,0.13752845578231288,670
8,0.0,,0.0,0.0,1.0,,,1.0,0.0,,,,0.383686,93,218,40,327,0.2990353697749196,0.10899182561307902,0.1900435441618406,0.19364245583815942,678
9,1.0,0.0,0.0,0.0,1.0,,,,1.0,0.0,,,0.103448,13,84,25,204,0.13402061855670103,0.1091703056768559,0.024850312879845127,0.07859768712015487,326
10,0.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.51049,80,65,85,559,0.5517241379310345,0.13198757763975155,0.4197365602912829,0.09075343970871708,789
11,0.0,,0.0,0.0,1.0,,,0.0,0.0,,,,0.302632,24,46,14,165,0.34285714285714286,0.0782122905027933,0.26464485235434954,0.037987147645650476,249
12,,,,,0.0,,1.0,1.0,1.0,,,0.0,0.668831,97,89,66,243,0.521505376344086,0.21359223300970873,0.30791314333437725,0.3609178566656227,495
13,1.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.057692,9,106,3,177,0.0782608695652174,0.016666666666666666,0.061594202898550734,0.0039022028985507343,295
