,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,0.0,,,0.0,,,,,,,1.0,0.496233,1890,1946,2139,11389,0.4927007299270073,0.15811649911295092,0.3345842308140564,0.16164876918594356,17364
1,,,,,0.0,,,0.0,,,,0.0,0.345588,117,140,50,466,0.45525291828793774,0.09689922480620156,0.3583536934817362,0.012765693481736173,773
2,,,0.0,0.0,1.0,,,0.0,1.0,,,,0.508621,53,60,41,185,0.4690265486725664,0.18141592920353983,0.28761061946902655,0.22101038053097344,339
3,,,,,0.0,,,1.0,1.0,,,0.0,0.550926,114,113,115,744,0.5022026431718062,0.13387660069848661,0.36832604247331957,0.18259995752668046,1086
4,0.0,,0.0,0.0,1.0,,,1.0,1.0,,,,0.647157,401,230,266,528,0.6354992076069731,0.3350125944584383,0.3004866131485348,0.3466703868514652,1425
5,,,,,0.0,,,1.0,0.0,,,0.0,0.2,22,63,26,344,0.25882352941176473,0.07027027027027027,0.18855325914149446,0.011446740858505555,455
6,0.0,1.0,,,0.0,,,,,0.0,1.0,1.0,0.343434,39,64,26,424,0.3786407766990291,0.057777777777777775,0.32086299892125136,0.022571001078748654,553
7,0.0,,0.0,0.0,1.0,,,1.0,0.0,,,,0.339683,113,214,39,336,0.345565749235474,0.104,0.24156574923547403,0.09811725076452599,702
8,0.0,1.0,1.0,0.0,0.0,,,,,,0.0,1.0,0.54955,72,35,77,310,0.6728971962616822,0.19896640826873385,0.47393078799294835,0.07561921200705163,494
9,1.0,0.0,0.0,0.0,1.0,,,1.0,1.0,,,,0.150538,9,78,26,164,0.10344827586206896,0.1368421052631579,-0.03339382940108894,0.18393182940108893,277
10,0.0,,0.0,0.0,1.0,,,0.0,0.0,,,,0.306667,24,47,17,169,0.3380281690140845,0.0913978494623656,0.2466303195517189,0.060036680448281116,257
11,1.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.053097,9,97,2,176,0.08490566037735849,0.011235955056179775,0.07366970532117871,0.020572705321178712,284
12,0.0,1.0,0.0,,0.0,,,,,,0.0,1.0,0.566667,60,48,80,223,0.5555555555555556,0.264026402640264,0.2915291529152916,0.27513784708470845,411
