,age.30,age.60,workclass.Private,workclass.Self.emp,workclass.gov,education.num.9,Prof,white,Male,hours.50,hours.30,US,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,0.0,,,0.0,,,,,,,1.0,0.500793,1906,1997,2193,11251,0.48834230079426083,0.1631210949122285,0.3252212058820323,0.17557179411796775,17347
1,,,,,0.0,,,0.0,,,,0.0,0.4,97,147,49,463,0.3975409836065574,0.095703125,0.3018378586065574,0.09816214139344265,756
2,,,0.0,0.0,1.0,,,,1.0,1.0,0.0,,0.621849,68,36,45,61,0.6538461538461539,0.42452830188679247,0.22931785195936139,0.3925311480406386,210
3,,,,,0.0,,,1.0,1.0,,,0.0,0.554054,110,111,109,759,0.497737556561086,0.12557603686635946,0.37216151969472655,0.1818924803052735,1089
4,,,0.0,0.0,1.0,,,,1.0,0.0,,,0.553756,405,331,297,830,0.5502717391304348,0.26353149955634425,0.28674023957409056,0.26701576042590947,1863
5,0.0,1.0,,,0.0,,,,,,,1.0,0.478689,188,155,172,921,0.5481049562682215,0.15736505032021958,0.39073990594800195,0.08794909405199802,1436
6,,,,,0.0,,,1.0,0.0,,,0.0,0.230769,22,73,22,361,0.23157894736842105,0.057441253263707574,0.17413769410471347,0.05663130589528653,478
7,0.0,,0.0,0.0,1.0,,,1.0,0.0,,,,0.315476,114,192,58,334,0.37254901960784315,0.14795918367346939,0.22458983593437376,0.09088616406562622,698
8,0.0,,0.0,0.0,1.0,,,0.0,0.0,,,,0.333333,22,49,17,170,0.30985915492957744,0.09090909090909091,0.21895006402048653,0.11438293597951346,258
9,1.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.070175,7,98,3,178,0.06666666666666667,0.016574585635359115,0.05009208103130755,0.02008291896869245,286
