,mens,womens,newbie,conversion,recency_1,recency_10,recency_11,recency_12,recency_2,recency_3,recency_4,recency_5,recency_6,recency_7,recency_8,recency_9,recency_1.1,recency_2.1,recency_3.1,recency_4.1,recency_5.1,recency_6.1,recency_7.1,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.194444,22,118,34,244,0.15714285714285714,0.1223021582733813,0.03484069886947584,0.15960330113052418,418
1,1.0,,1.0,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,0.171429,25,140,50,283,0.15151515151515152,0.15015015015015015,0.001365001365001367,0.17006399863499863,498
2,1.0,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.158173,169,1139,382,2256,0.12920489296636087,0.14480667172100076,-0.015601778754639889,0.1737747787546399,3946
3,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.142857,12,103,33,185,0.10434782608695652,0.15137614678899083,-0.04702832070203432,0.18988532070203434,333
4,0.0,1.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.146154,16,106,25,217,0.13114754098360656,0.10330578512396695,0.02784175585963962,0.11831224414036039,364
5,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.226667,11,55,30,139,0.16666666666666666,0.17751479289940827,-0.010848126232741617,0.23751512623274162,235
6,1.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,,0.0,0.241259,25,111,57,260,0.18382352941176472,0.17981072555205047,0.0040128038597142535,0.23724619614028575,453
7,1.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,0.0,0.146067,6,73,17,153,0.0759493670886076,0.1,-0.02405063291139241,0.17011763291139242,249
8,1.0,1.0,1.0,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,0.263279,44,152,82,318,0.22448979591836735,0.205,0.01948979591836736,0.24378920408163263,596
9,1.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.18732,27,132,71,265,0.16981132075471697,0.2113095238095238,-0.04149820305480684,0.22881820305480682,495
10,1.0,1.0,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.341837,34,85,55,163,0.2857142857142857,0.25229357798165136,0.033420707732634336,0.30841629226736567,337
11,1.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.0,0.0,1.0,0.140625,5,58,15,122,0.07936507936507936,0.10948905109489052,-0.030123971729811155,0.17074897172981116,200
12,1.0,0.0,1.0,,,,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.25,7,41,22,108,0.14583333333333334,0.16923076923076924,-0.023397435897435898,0.2733974358974359,178
13,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.060606,1,68,10,106,0.014492753623188406,0.08620689655172414,-0.07171414292853574,0.13232014292853575,185
14,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.198758,17,68,19,143,0.2,0.11728395061728394,0.08271604938271607,0.11604195061728392,247
15,1.0,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,0.148515,9,71,30,166,0.1125,0.15306122448979592,-0.04056122448979592,0.18907622448979594,276
16,1.0,1.0,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.272727,19,56,44,134,0.25333333333333335,0.24719101123595505,0.0061423220973783055,0.2665846779026217,253
17,1.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.336898,13,65,46,126,0.16666666666666666,0.26744186046511625,-0.1007751937984496,0.4376731937984496,250
18,1.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,0.198675,21,54,43,109,0.28,0.28289473684210525,-0.0028947368421052277,0.20156973684210522,227
19,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.206897,14,71,28,198,0.16470588235294117,0.12389380530973451,0.04081207704320666,0.16608492295679333,311
20,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,1.0,0.0,0.203008,22,131,25,267,0.1437908496732026,0.08561643835616438,0.058174411317038224,0.14483358868296176,445
21,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.121212,7,51,23,121,0.1206896551724138,0.1597222222222222,-0.03903256704980841,0.1602445670498084,202
22,1.0,1.0,1.0,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.301205,22,63,38,121,0.25882352941176473,0.2389937106918239,0.019829818719940828,0.2813751812800592,244
