,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,,1.0,0.0,,0.341246,194,420,40,76,0.31596091205211724,0.3448275862068966,-0.028866674154779337,0.37011267415477933,730
1,,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.274071,694,1882,79,289,0.2694099378881988,0.21467391304347827,0.05473602484472051,0.2193349751552795,2944
2,,,0.0,,1.0,0.0,,1.0,0.0,1.0,,,0.595694,226,161,28,28,0.5839793281653747,0.5,0.08397932816537468,0.5117146718346253,443
3,,,,0.0,1.0,,,0.0,0.0,1.0,1.0,1.0,0.420323,213,237,24,41,0.47333333333333333,0.36923076923076925,0.10410256410256408,0.3162204358974359,515
4,,,1.0,,,0.0,,1.0,,1.0,,,0.236765,134,503,14,87,0.21036106750392464,0.13861386138613863,0.07174720611778601,0.165017793882214,738
5,,0.0,,1.0,1.0,1.0,,0.0,,1.0,1.0,,0.364414,436,706,76,119,0.38178633975481613,0.38974358974358975,-0.007957249988773618,0.37237124998877363,1337
6,,,0.0,,0.0,0.0,,1.0,,1.0,0.0,1.0,0.387632,272,400,21,82,0.40476190476190477,0.20388349514563106,0.2008784096162737,0.18675359038372627,775
7,,,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.29863,92,271,18,64,0.2534435261707989,0.21951219512195122,0.033931331048847685,0.26469866895115235,445
8,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,,1.0,0.0,,0.313333,121,317,16,52,0.2762557077625571,0.23529411764705882,0.04096159011549827,0.2723714098845017,506
9,,,,0.0,1.0,,,0.0,,1.0,,0.0,0.457732,225,260,32,41,0.4639175257731959,0.4383561643835616,0.025561361389634274,0.43217063861036575,558
10,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.00871,18,1833,5,362,0.009724473257698542,0.013623978201634877,-0.003899504943936335,0.012609504943936336,2218
11,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.117647,36,357,6,65,0.0916030534351145,0.08450704225352113,0.0070960111815933785,0.11055098881840662,464
12,1.0,,,1.0,,0.0,0.0,1.0,1.0,0.0,,1.0,0.012121,3,908,1,168,0.003293084522502744,0.005917159763313609,-0.002624075240810865,0.014745075240810864,1080
13,,0.0,,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.035294,17,445,6,91,0.0367965367965368,0.061855670103092786,-0.025059133306555986,0.060353133306555985,559
14,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.014507,87,5520,16,1007,0.015516318887105404,0.015640273704789834,-0.00012395481768442962,0.01463095481768443,6630
15,1.0,,0.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.008621,5,700,0,121,0.0070921985815602835,0.0,0.0070921985815602835,0.0015288014184397167,826
16,1.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1.0,1.0,0.063492,20,329,3,57,0.05730659025787966,0.05,0.007306590257879657,0.05618540974212035,409
17,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.026906,22,1329,4,223,0.01628423390081421,0.01762114537444934,-0.0013369114736351308,0.02824291147363513,1578
18,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.021798,50,2155,12,385,0.022675736961451247,0.030226700251889168,-0.007550963290437921,0.029348963290437922,2602
19,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.000837,10,21796,1,3812,0.0004585893790699807,0.00026226068712300026,0.00019632869194698046,0.0006406713080530195,25619
20,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.202128,75,515,10,90,0.1271186440677966,0.1,0.0271186440677966,0.1750093559322034,690
21,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,,0.239071,576,1914,81,377,0.23132530120481928,0.17685589519650655,0.05446940600831274,0.18460159399168727,2948
22,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,,0.017707,22,1077,1,174,0.020018198362147407,0.005714285714285714,0.014303912647861693,0.003403087352138307,1274
23,0.0,,0.0,0.0,0.0,,1.0,,1.0,0.0,0.0,1.0,0.001686,4,2346,0,476,0.001702127659574468,0.0,0.001702127659574468,1.612765957446807e-05,2826
24,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.009174,10,889,4,164,0.011123470522803115,0.023809523809523808,-0.012686053286720693,0.021860053286720693,1067
25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.080216,188,2243,37,428,0.07733443027560674,0.07956989247311828,-0.0022354621975115424,0.08245146219751154,2896
26,1.0,,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.002983,36,16088,4,2949,0.002232696601339618,0.0013545546901456147,0.0008781419111940033,0.0021048580888059967,19077
27,,,1.0,0.0,,,,,0.0,0.0,,1.0,0.063591,142,2190,16,350,0.060891938250428816,0.04371584699453552,0.017176091255893297,0.0464149087441067,2698
28,,,1.0,1.0,,0.0,,1.0,0.0,0.0,,1.0,0.042918,12,484,1,85,0.024193548387096774,0.011627906976744186,0.012565641410352588,0.03035235858964741,582
29,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.067568,8,348,3,71,0.02247191011235955,0.04054054054054054,-0.018068630428180993,0.085636630428181,430
30,,,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.070732,29,371,1,65,0.0725,0.015151515151515152,0.05734848484848484,0.01338351515151516,466
