,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.259689,926,2559,141,500,0.2657101865136298,0.21996879875195008,0.04574138776167974,0.21394761223832026,4126
1,1.0,,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.003774,2,268,0,44,0.007407407407407408,0.0,0.007407407407407408,0.0036334074074074077,314
2,,0.0,,1.0,1.0,1.0,,0.0,,1.0,,,0.368061,453,728,78,111,0.3835732430143946,0.4126984126984127,-0.02912516968401807,0.3971861696840181,1370
3,,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.27085,711,1898,72,296,0.2725182062092756,0.1956521739130435,0.0768660322962321,0.19398396770376788,2977
4,,,0.0,,,0.0,,1.0,,1.0,,,0.473206,483,556,42,105,0.46487006737247355,0.2857142857142857,0.17915578165818785,0.29405021834181216,1186
5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.14433,76,530,15,82,0.1254125412541254,0.15463917525773196,-0.02922663400360656,0.17355663400360657,703
6,,,1.0,,,0.0,,1.0,,1.0,,,0.223373,144,497,14,81,0.22464898595943839,0.14736842105263157,0.07728056490680682,0.14609243509319317,736
7,,,,0.0,0.0,,,0.0,1.0,1.0,0.0,1.0,0.033333,14,423,6,86,0.032036613272311214,0.06521739130434782,-0.03318077803203661,0.06651377803203662,529
8,,,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.077295,26,370,1,59,0.06565656565656566,0.016666666666666666,0.048989898989899,0.028305101010101003,456
9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.015152,3,357,0,57,0.008333333333333333,0.0,0.008333333333333333,0.006818666666666667,417
10,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,2,451,0,66,0.004415011037527594,0.0,0.004415011037527594,0.004415011037527594,519
11,,,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.27933,101,269,17,59,0.27297297297297296,0.2236842105263158,0.04928876244665717,0.23004123755334285,446
12,,,,0.0,1.0,,,0.0,0.0,1.0,1.0,1.0,0.458696,184,239,30,39,0.43498817966903075,0.43478260869565216,0.0002055709733785882,0.4584904290266214,492
13,,0.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.021277,20,1168,2,215,0.016835016835016835,0.009216589861751152,0.007618426973265683,0.013658573026734318,1405
14,,,1.0,0.0,,,,0.0,1.0,0.0,,1.0,0.023358,15,663,2,138,0.022123893805309734,0.014285714285714285,0.007838179519595449,0.015519820480404551,818
15,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020356,55,2114,9,375,0.025357307514983864,0.0234375,0.0019198075149838636,0.018436192485016135,2553
16,,,1.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.084416,51,431,4,64,0.10580912863070539,0.058823529411764705,0.04698559921894069,0.03743040078105932,550
17,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.007246,0,302,0,52,0.0,0.0,0.0,0.007246,354
18,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.075796,200,2249,37,432,0.08166598611678236,0.07889125799573561,0.002774728121046746,0.07302127187895326,2918
19,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.003885,48,7554,5,1437,0.006314127861089187,0.0034674063800277394,0.0028467214810614476,0.0010382785189385524,9044
20,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.00519,23,2939,2,467,0.007765023632680621,0.0042643923240938165,0.0035006313085868043,0.001689368691413196,3431
21,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.105714,43,374,6,69,0.10311750599520383,0.08,0.023117505995203833,0.08259649400479617,492
22,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.012346,8,890,3,152,0.008908685968819599,0.01935483870967742,-0.010446152740857821,0.022792152740857823,1053
23,,,,0.0,1.0,,,0.0,0.0,1.0,,0.0,0.475345,206,257,34,44,0.4449244060475162,0.4358974358974359,0.009026970150080305,0.4663180298499197,541
24,,,1.0,0.0,,,,0.0,0.0,0.0,,1.0,0.049198,113,1811,10,278,0.058731808731808735,0.034722222222222224,0.02400958650958651,0.025188413490413487,2212
25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.01711,83,5595,13,992,0.014617823177175061,0.012935323383084577,0.0016824997940904848,0.015427500205909515,6683
26,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.002317,35,16178,6,2943,0.0021587614876950596,0.002034587995930824,0.00012417349176423566,0.0021928265082357644,19162
27,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.020328,19,1366,6,215,0.013718411552346571,0.027149321266968326,-0.013430909714621755,0.033758909714621754,1606
28,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.052632,19,445,3,80,0.040948275862068964,0.03614457831325301,0.004803697548815954,0.047828302451184045,547
29,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.076923,9,236,3,38,0.036734693877551024,0.07317073170731707,-0.036436037829766045,0.11335903782976606,286
30,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.009224,17,1828,4,382,0.00921409214092141,0.010362694300518135,-0.001148602159596725,0.010372602159596725,2231
31,,,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.028125,6,315,1,51,0.018691588785046728,0.019230769230769232,-0.0005391804457225043,0.028664180445722505,373
32,,0.0,1.0,1.0,,0.0,,1.0,0.0,0.0,,1.0,0.028455,18,452,0,74,0.03829787234042553,0.0,0.03829787234042553,0.00984287234042553,544
33,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.000643,14,21538,2,3737,0.0006495916852264291,0.0005349023803155924,0.00011468930491083677,0.0005283106950891632,25291
34,1.0,,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.005222,0,756,2,140,0.0,0.014084507042253521,-0.014084507042253521,0.01930650704225352,898
35,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.002139,3,2312,0,422,0.0012958963282937365,0.0,0.0012958963282937365,0.0008431036717062633,2737
