,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,,1.0,0.0,1.0,0.31839,337,743,51,138,0.31203703703703706,0.2698412698412698,0.04219576719576723,0.2761942328042328,1269
1,,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.061392,85,1407,11,238,0.05697050938337802,0.04417670682730924,0.012793802556068781,0.04859819744393122,1741
2,,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,,1.0,0.089862,51,444,3,57,0.10303030303030303,0.05,0.053030303030303025,0.03683169696969697,555
3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.232904,583,1924,74,368,0.23254886318308735,0.167420814479638,0.06512804870344935,0.16777595129655065,2949
4,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.398762,433,681,63,114,0.388689407540395,0.3559322033898305,0.03275720415056449,0.3660047958494355,1291
5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.125313,30,338,4,61,0.08152173913043478,0.06153846153846154,0.019983277591973242,0.10532972240802677,433
6,,,0.0,,,0.0,,1.0,,1.0,0.0,,0.41474,263,407,21,74,0.3925373134328358,0.22105263157894736,0.17148468185388846,0.24325531814611154,765
7,,,0.0,0.0,0.0,,,0.0,,1.0,0.0,1.0,0.321026,630,1253,71,203,0.3345724907063197,0.2591240875912409,0.07544840311507883,0.24557759688492115,2157
8,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.018868,25,1376,5,208,0.017844396859386154,0.023474178403755867,-0.005629781544369713,0.024497781544369712,1614
9,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0,,1.0,0.019231,10,896,2,159,0.011037527593818985,0.012422360248447204,-0.0013848326546282187,0.02061583265462822,1067
10,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.171429,71,484,11,78,0.12792792792792793,0.12359550561797752,0.004332422309950401,0.1670965776900496,644
11,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.032184,66,2322,10,420,0.02763819095477387,0.023255813953488372,0.004382377001285499,0.027801622998714498,2818
12,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.040541,11,368,5,69,0.029023746701846966,0.06756756756756757,-0.038543820865720606,0.0790848208657206,453
13,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.016252,24,1100,3,190,0.021352313167259787,0.015544041450777202,0.005808271716482585,0.010443728283517414,1317
14,,,0.0,,1.0,0.0,,1.0,0.0,1.0,1.0,,0.583784,238,170,15,31,0.5833333333333334,0.32608695652173914,0.25724637681159424,0.32653762318840573,454
15,,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.00232,2,446,0,74,0.004464285714285714,0.0,0.004464285714285714,0.002144285714285714,522
16,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.005316,37,7503,3,1393,0.004907161803713528,0.002148997134670487,0.002758164669043041,0.0025578353309569594,8936
17,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.015138,84,5566,16,1041,0.014867256637168142,0.015137180700094607,-0.00026992406292646563,0.015407924062926466,6707
18,,,,,1.0,,,0.0,,1.0,,0.0,0.450617,404,584,73,103,0.4089068825910931,0.4147727272727273,-0.0058658446816342025,0.4564828446816342,1164
