,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,,0.0,,1.0,0.061166,84,1648,7,288,0.04849884526558892,0.023728813559322035,0.024770031706266883,0.036395968293733115,2027
1,,0.0,,0.0,,,,,,1.0,,1.0,0.264416,1259,3505,137,659,0.26427371956339213,0.1721105527638191,0.09216316679957304,0.17225283320042695,5560
2,,1.0,0.0,,,0.0,,,,,,,0.323144,233,452,27,66,0.34014598540145985,0.2903225806451613,0.04982340475629854,0.27332059524370145,778
3,,0.0,,1.0,1.0,,,,,1.0,,0.0,0.447368,216,296,35,44,0.421875,0.4430379746835443,-0.021162974683544278,0.46853097468354427,591
4,1.0,0.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.164634,127,765,18,144,0.14237668161434977,0.1111111111111111,0.031265570503238665,0.13336842949676134,1054
5,,0.0,0.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,0.534884,204,247,26,53,0.4523281596452328,0.3291139240506329,0.12321423559459993,0.4116697644054001,530
6,,0.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.260955,985,2680,119,493,0.26875852660300137,0.19444444444444445,0.07431408215855692,0.18664091784144307,4277
7,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2,274,0,50,0.007246376811594203,0.0,0.007246376811594203,0.007246376811594203,326
8,,0.0,0.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,0.021478,19,1141,2,211,0.016379310344827588,0.009389671361502348,0.00698963898332524,0.01448836101667476,1373
9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.015152,4,330,0,57,0.011976047904191617,0.0,0.011976047904191617,0.003175952095808383,391
10,,0.0,,0.0,1.0,,,,,1.0,,0.0,0.494382,277,306,35,55,0.4751286449399657,0.3888888888888889,0.08623975605107681,0.4081422439489232,673
11,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.009036,2,316,0,58,0.006289308176100629,0.0,0.006289308176100629,0.0027466918238993714,376
12,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.002567,41,23860,8,4155,0.0017154093970963558,0.0019216910881575786,-0.00020628169106122279,0.002773281691061223,28064
13,,0.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,0.010449,25,2038,1,388,0.012118274357731459,0.002570694087403599,0.00954758027032786,0.0009014197296721392,2452
14,,0.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,0.086103,49,566,10,114,0.07967479674796749,0.08064516129032258,-0.0009703645423550927,0.08707336454235509,739
15,,0.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.109726,33,376,2,54,0.08068459657701711,0.03571428571428571,0.0449703108627314,0.0647556891372686,465
16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.006752,18,2864,1,508,0.006245662734212352,0.0019646365422396855,0.004281026191972667,0.002470973808027333,3391
17,0.0,0.0,,1.0,0.0,,1.0,,1.0,0.0,0.0,1.0,0.005831,32,7559,4,1390,0.0042155183770254245,0.0028694404591104736,0.0013460779179149509,0.004484922082085049,8985
18,1.0,0.0,0.0,1.0,0.0,,0.0,,1.0,0.0,0.0,1.0,0.002694,20,16087,2,2941,0.0012416961569503943,0.0006795786612300374,0.0005621174957203569,0.002131882504279643,19050
19,1.0,0.0,1.0,1.0,1.0,,0.0,,,,1.0,1.0,0.077103,33,384,9,74,0.07913669064748201,0.10843373493975904,-0.02929704429227703,0.10640004429227704,500
20,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,,0.0,,1.0,0.039216,10,257,1,29,0.03745318352059925,0.03333333333333333,0.004119850187265919,0.03509614981273408,297
21,,1.0,1.0,,,0.0,,,,,,,0.183206,63,315,3,51,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.0720948888888889,432
22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.001302,5,2342,0,403,0.0021303792074989347,0.0,0.0021303792074989347,0.0008283792074989347,2750
23,0.0,0.0,1.0,1.0,0.0,,1.0,,0.0,1.0,0.0,1.0,0.084633,182,2261,32,436,0.07449856733524356,0.06837606837606838,0.006122498959175174,0.07851050104082483,2911
24,0.0,0.0,1.0,1.0,0.0,,1.0,,0.0,0.0,0.0,1.0,0.015973,80,5634,15,1043,0.01400070003500175,0.014177693761814745,-0.0001769937268129955,0.016149993726812997,6772
25,,0.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,1.0,0.043478,11,554,0,118,0.019469026548672566,0.0,0.019469026548672566,0.024008973451327437,683
26,,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.017241,4,315,0,49,0.012539184952978056,0.0,0.012539184952978056,0.0047018150470219434,368
27,1.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,0.0,1.0,0.018293,86,3472,12,615,0.02417088251826869,0.019138755980861243,0.005032126537407446,0.013260873462592554,4185
