,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,,0.0,1.0,0.0,,0.0,,0.0,1.0,0.0,1.0,0.339056,249,444,35,73,0.3593073593073593,0.32407407407407407,0.03523328523328523,0.3038227147667148,801
1,,,,0.0,0.0,,,0.0,0.0,1.0,0.0,1.0,0.251563,794,2464,95,414,0.24370779619398403,0.18664047151277013,0.05706732468121389,0.1944956753187861,3767
2,1.0,,1.0,1.0,0.0,,,,,1.0,0.0,1.0,0.122699,131,913,25,175,0.12547892720306514,0.125,0.00047892720306513814,0.12222007279693486,1244
3,,,1.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.093478,47,422,3,56,0.10021321961620469,0.05084745762711865,0.04936576198908604,0.04411223801091396,528
4,,,,1.0,,0.0,1.0,1.0,,0.0,,1.0,0.012295,2,491,0,94,0.004056795131845842,0.0,0.004056795131845842,0.008238204868154159,587
5,,,,1.0,1.0,,,,,1.0,,0.0,0.38961,221,298,39,40,0.4258188824662813,0.4936708860759494,-0.06785200360966809,0.4574620036096681,598
6,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.016598,29,1362,6,233,0.020848310567936738,0.02510460251046025,-0.004256291942523513,0.020854291942523515,1630
7,0.0,,0.0,1.0,0.0,,1.0,,0.0,1.0,0.0,1.0,0.219103,600,1833,90,353,0.2466091245376079,0.20316027088036118,0.04344885365724671,0.17565414634275328,2876
8,,,,0.0,1.0,,,,0.0,1.0,1.0,1.0,0.475483,290,388,47,59,0.4277286135693215,0.44339622641509435,-0.015667612845772838,0.4911506128457728,784
9,,,1.0,0.0,0.0,0.0,,1.0,,1.0,0.0,1.0,0.215159,85,322,7,44,0.20884520884520885,0.13725490196078433,0.07159030688442453,0.14356869311557546,458
10,1.0,0.0,0.0,1.0,0.0,,1.0,,0.0,1.0,0.0,1.0,0.306075,136,276,20,52,0.3300970873786408,0.2777777777777778,0.052319309600863007,0.253755690399137,484
11,,,,0.0,1.0,,,,0.0,1.0,,0.0,0.518056,365,372,43,71,0.49525101763907736,0.37719298245614036,0.118058035182937,0.39999796481706296,851
12,,,0.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,0.019692,21,1140,2,223,0.01808785529715762,0.008888888888888889,0.009198966408268732,0.010493033591731269,1386
13,,,,0.0,0.0,,,0.0,1.0,1.0,0.0,1.0,0.044444,10,421,5,87,0.02320185614849188,0.05434782608695652,-0.031145969938464642,0.07558996993846465,523
14,0.0,,,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.004783,41,7500,5,1407,0.005436944702294126,0.0035410764872521247,0.001895868215042001,0.002887131784957999,8953
15,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,,1.0,0.018182,13,853,2,176,0.015011547344110854,0.011235955056179775,0.0037755922879310795,0.01440640771206892,1044
16,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.015267,0,744,0,151,0.0,0.0,0.0,0.015267,895
17,,,,1.0,1.0,,,,0.0,1.0,1.0,1.0,0.390244,267,449,36,90,0.3729050279329609,0.2857142857142857,0.08719074221867518,0.3030532577813248,842
18,0.0,,1.0,1.0,0.0,,1.0,,,1.0,0.0,1.0,0.047239,215,4068,39,812,0.05019845902404856,0.045828437132784956,0.004370021891263606,0.0428689781087364,5134
19,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.028504,62,2406,12,432,0.025121555915721232,0.02702702702702703,-0.0019054711113057968,0.0304094711113058,2912
20,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,,0.0,,1.0,0.023423,19,552,0,105,0.03327495621716287,0.0,0.03327495621716287,0.009851956217162873,676
21,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.000553,16,21587,2,3900,0.0007406378743693005,0.0005125576627370579,0.00022808021163224263,0.00032491978836775737,25505
22,0.0,,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,1.0,0.006462,19,3148,2,542,0.005999368487527629,0.003676470588235294,0.002322897899292335,0.004139102100707665,3711
23,,,1.0,0.0,,,,,1.0,0.0,,1.0,0.022195,23,808,1,153,0.027677496991576414,0.006493506493506494,0.02118399049806992,0.001011009501930081,985
