,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,0.0,,,0.0,,1.0,,1.0,,1.0,0.41958,360,494,32,108,0.4215456674473068,0.22857142857142856,0.19297423887587825,0.22660576112412176,994
1,,,,0.0,1.0,,,0.0,0.0,1.0,1.0,1.0,0.40625,213,222,29,31,0.4896551724137931,0.48333333333333334,0.006321839080459746,0.39992816091954025,495
2,,,1.0,,,0.0,,1.0,,1.0,,1.0,0.225649,127,473,7,82,0.21166666666666667,0.07865168539325842,0.13301498127340824,0.09263401872659174,689
3,,,,,1.0,,,,,1.0,,0.0,0.466985,568,664,86,115,0.461038961038961,0.42786069651741293,0.033178264521548095,0.4338067354784519,1433
4,,0.0,,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.358974,240,424,40,78,0.3614457831325301,0.3389830508474576,0.022462732285072506,0.3365112677149275,782
5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.131148,35,341,3,71,0.09308510638297872,0.04054054054054054,0.052544565842438176,0.07860343415756181,450
6,,,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.356056,514,943,59,152,0.35277968428277284,0.2796208530805687,0.07315883120220412,0.28289716879779586,1668
7,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.357522,220,417,26,73,0.3453689167974882,0.26262626262626265,0.08274265417122556,0.27477934582877445,736
8,0.0,,0.0,0.0,0.0,,1.0,,1.0,0.0,0.0,1.0,0.000855,6,2377,0,422,0.002517834662190516,0.0,0.002517834662190516,0.0016628346621905161,2805
9,,0.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.020725,24,1165,1,225,0.020185029436501262,0.004424778761061947,0.015760250675439316,0.004964749324560685,1415
10,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.002793,1,757,2,145,0.0013192612137203166,0.013605442176870748,-0.012286180963150432,0.015079180963150432,905
11,0.0,,1.0,0.0,,,,0.0,1.0,0.0,,1.0,0.020833,14,554,1,107,0.02464788732394366,0.009259259259259259,0.015388628064684402,0.005444371935315599,676
12,0.0,,,1.0,0.0,,1.0,0.0,,0.0,0.0,1.0,0.009258,124,13030,20,2415,0.009426790329937661,0.008213552361396304,0.0012132379685413572,0.008044762031458643,15589
13,0.0,,1.0,0.0,,0.0,,1.0,,0.0,,1.0,0.078611,49,485,3,71,0.09176029962546817,0.04054054054054054,0.051219759084927624,0.027391240915072376,608
14,1.0,,0.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.008696,3,661,0,122,0.004518072289156626,0.0,0.004518072289156626,0.004177927710843374,786
15,1.0,,1.0,0.0,,,,,,0.0,,1.0,0.04,18,452,1,79,0.03829787234042553,0.0125,0.02579787234042553,0.01420212765957447,550
16,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.022124,18,1271,5,219,0.013964313421256789,0.022321428571428572,-0.008357115150171783,0.030481115150171784,1513
17,,,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.241897,713,2174,102,432,0.24696917215102182,0.19101123595505617,0.055957936195965646,0.18593906380403435,3421
18,,,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.13209,174,1101,17,185,0.13647058823529412,0.08415841584158416,0.05231217239370996,0.07977782760629006,1477
19,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.142361,72,518,16,79,0.12203389830508475,0.16842105263157894,-0.04638715432649419,0.18874815432649417,685
20,,,,0.0,0.0,,1.0,0.0,,1.0,0.0,1.0,0.14135,129,837,16,178,0.13354037267080746,0.08247422680412371,0.051066145866683746,0.09028385413331626,1160
21,1.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.009406,28,1810,7,319,0.015233949945593036,0.02147239263803681,-0.0062384426924437745,0.015644442692443774,2164
22,0.0,,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,1.0,0.005516,22,3132,1,529,0.006975269499048827,0.0018867924528301887,0.0050884770462186375,0.00042752295378136254,3684
23,,,1.0,1.0,0.0,0.0,,1.0,,0.0,0.0,1.0,0.021776,16,545,1,103,0.0285204991087344,0.009615384615384616,0.018905114493349785,0.002870885506650215,665
24,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.001182,31,37178,4,6540,0.0008331317691956247,0.0006112469437652812,0.00022188482543034353,0.0009601151745696566,43753
25,0.0,,1.0,0.0,,,,0.0,0.0,0.0,,1.0,0.062346,85,1503,12,257,0.0535264483627204,0.04460966542750929,0.008916782935211108,0.05342921706478889,1857
26,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.064935,10,345,3,68,0.028169014084507043,0.04225352112676056,-0.01408450704225352,0.07901950704225352,426
27,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.002506,2,382,0,82,0.005208333333333333,0.0,0.005208333333333333,0.002702333333333333,466
28,0.0,,1.0,1.0,0.0,,1.0,0.0,,1.0,0.0,1.0,0.051435,210,4051,31,793,0.0492842055855433,0.03762135922330097,0.011662846362242331,0.03977215363775767,5085
29,1.0,0.0,1.0,1.0,1.0,,,,,0.0,1.0,1.0,0.059701,20,390,3,82,0.04878048780487805,0.03529411764705882,0.013486370157819227,0.04621462984218077,495
30,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022901,49,2135,8,376,0.022435897435897436,0.020833333333333332,0.0016025641025641038,0.021298435897435897,2568
