"","age.30","age.60","workclass.Private","workclass.Self.emp","workclass.gov","education.num.12","education.num.9","Prof","white","Male","hours.50","hours.30","US","class","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,4,7,98,3,178,0.0666666666666667,0.0165745856353591,0.0500920810313076,0.0463659147869674,0.00372616624434013,286
"2",0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,5,136,241,75,504,0.360742705570292,0.129533678756477,0.231209026813815,0.233232934451288,0.00202390763747337,956
"3",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,6,473,367,342,891,0.563095238095238,0.277372262773723,0.285722975321515,0.279262471531526,0.00646050378998952,2073
"4",NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,9,97,147,49,463,0.397540983606557,0.095703125,0.301837858606557,0.297233201581028,0.0046046570255297,756
"5",NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,10,132,184,131,1120,0.417721518987342,0.104716227018385,0.313005291968956,0.374031758036296,0.0610264660673392,1567
"6",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,11,2094,2152,2365,12172,0.49317004239284,0.162688312581688,0.330481729811152,0.34215553650106,0.011673806689908,18783
