"","age.30","age.60","workclass.Private","workclass.Self.emp","workclass.gov","education.num.12","education.num.9","Prof","white","Male","hours.50","hours.30","US","class","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,NA,NA,1,NA,NA,NA,NA,NA,1,0,NA,NA,4,3,19,4,16,0.136363636363636,0.2,-0.0636363636363637,-0.17,0.106363636363636,42
"2",1,0,NA,NA,1,NA,NA,0,NA,0,0,NA,NA,NA,7,1,20,1,130,0.0476190476190476,0.00763358778625954,0.0399854598327881,-0.0303030303030303,0.0702884901358184,152
"3",1,0,NA,NA,1,NA,NA,1,NA,0,0,NA,NA,NA,8,8,63,0,43,0.112676056338028,0,0.112676056338028,0.0299379335523914,0.0827381227856368,114
"4",1,0,NA,NA,1,NA,NA,NA,NA,1,0,1,NA,NA,10,0,22,0,53,0,0,0,0,0,75
"5",1,0,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,NA,11,6,55,24,161,0.0983606557377049,0.12972972972973,-0.0313690739920248,0.0883354618986803,0.119704535890705,246
"6",0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,14,10,16,6,24,0.384615384615385,0.2,0.184615384615385,0.0775862068965517,0.107029177718833,56
"7",0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,1,NA,15,116,246,62,493,0.320441988950276,0.111711711711712,0.208730277238565,0.262467301454431,0.0537370242158668,917
"8",0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,17,42,25,14,32,0.626865671641791,0.304347826086957,0.322517845554835,0.2360450563204,0.0864727892344341,113
"9",0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,18,403,238,297,606,0.628705148205928,0.32890365448505,0.299801493720878,0.310174069627851,0.0103725759069727,1544
"10",NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,21,38,109,28,552,0.258503401360544,0.0482758620689655,0.210227539291579,0.145355191256831,0.0648723480347481,727
"11",NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,0,NA,23,85,111,52,267,0.433673469387755,0.163009404388715,0.27066406499904,0.394650929181316,0.123986864182276,515
"12",NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,0,NA,24,109,111,98,720,0.495454545454545,0.119804400977995,0.37565014447655,0.4240444658648,0.04839432138825,1038
"13",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,25,2044,2114,2357,12367,0.491582491582492,0.160078782939419,0.331503708643073,0.341064932966288,0.00956122432321477,18882
