,age.30,age.60,wkcls.private,wkcls.self_emp,wkcls.gov,occ.prof,sex.male,hours.full,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,,,0.0,,1.0,,0.414733,5188,6975,5311,63601,0.4265395050563183,0.07706930578128628,0.34947019927503203,0.06526280072496798,81075
1,,,,,,,0.0,,0.138973,1623,10228,1267,72948,0.13695046831491015,0.01707202048103483,0.11987844783387532,0.019094552166124698,86066
2,,,0.0,0.0,1.0,,1.0,,0.408445,1078,1616,723,3506,0.40014847809948034,0.1709624024592102,0.22918607564027013,0.17925892435972987,6923
