,age.30,age.60,wkcls.private,wkcls.self_emp,wkcls.gov,occ.prof,sex.male,hours.full,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,0.0,0.0,1.0,,1.0,,0.406262,1081,1606,726,3548,0.40230740602902865,0.16986429574169395,0.2324431102873347,0.17381888971266532,6961
1,,,,,0.0,,1.0,,0.418011,5143,7009,5277,63715,0.42322251481237655,0.07648712894248609,0.34673538586989044,0.07127561413010958,81144
2,,,,,,,0.0,,0.142287,1597,10348,1253,72761,0.1336961071578066,0.016929229605209824,0.11676687755259679,0.025520122447403204,85959
