,age.30,age.60,wkcls.private,wkcls.self_emp,wkcls.gov,occ.prof,sex.male,hours.full,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,0.0,0.0,1.0,,1.0,,0.398104,1079,1548,740,3519,0.41073467834031213,0.17374970650387414,0.236984971836438,0.16111902816356202,6886
1,,,,,0.0,,1.0,,0.41388,5201,6968,5359,63556,0.4273974854137563,0.07776246100268447,0.3496350244110718,0.06424497558892822,81084
2,,,,,,,0.0,,0.134885,1686,10272,1243,72893,0.14099347717009533,0.016766483220028057,0.12422699395006728,0.010658006049932722,86094
