,age.30,age.60,wkcls.private,wkcls.self_emp,wkcls.gov,occ.prof,sex.male,hours.full,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,,,0.0,,1.0,,0.427397,5099,7221,5237,63598,0.41387987012987015,0.07608048231277693,0.33779938781709323,0.0895976121829068,81155
1,,,0.0,0.0,1.0,,1.0,,0.410735,1092,1651,711,3581,0.3981042654028436,0.16565703634669152,0.2324472290561521,0.17828777094384793,7035
2,,,,,,,0.0,,0.140993,1588,10185,1220,72881,0.13488490614117046,0.01646401533042739,0.11842089081074307,0.022572109189256936,85874
