,age.30,age.60,wkcls.private,wkcls.self_emp,wkcls.gov,occ.prof,sex.male,hours.full,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,,,0.0,,1.0,,0.419305,5148,7054,5370,63675,0.421898049500082,0.07777536389311318,0.3441226856069688,0.07518231439303119,81247
1,,,,,,,0.0,,0.137428,1636,10176,1207,72886,0.1385032170673891,0.016290337818687325,0.12221287924870178,0.015215120751298217,85905
2,,,0.0,0.0,1.0,,1.0,,0.406855,1079,1607,724,3502,0.40171258376768426,0.17132039753904402,0.23039218622864024,0.17646281377135978,6912
