"","age.30","age.60","wkcls.private","wkcls.self_emp","wkcls.gov","educ.12","occ.prof","sex.male","hours.full","income.50K","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,NA,NA,NA,NA,NA,0,NA,NA,3,1345,8706,920,59531,0.133817530593971,0.0152189376519826,0.118598592941988,0.121772554914735,0.00317396197274664,70502
"2",NA,1,NA,NA,NA,NA,NA,0,NA,NA,4,278,1522,347,13417,0.154444444444444,0.0252106945655333,0.129233749878911,0.130207681177567,0.000973931298656056,15564
"3",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,6266,8591,6034,67107,0.421754055327455,0.0824981884305656,0.339255866896889,0.331421797305101,0.00783406959178801,87998
