"","age.30","age.60","wkcls.private","wkcls.self_emp","wkcls.gov","educ.12","occ.prof","sex.male","hours.full","income.50K","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,NA,NA,NA,NA,NA,0,NA,NA,3,1367,8712,960,59588,0.135628534576843,0.0158551892713219,0.119773345305521,0.120602151455526,0.000828806150005218,70627
"2",0,1,NA,NA,NA,NA,NA,0,NA,NA,4,261,1496,302,13378,0.148548662492886,0.0220760233918129,0.126472639101073,0.132711905683526,0.00623926658245322,15437
"3",0,0,0,0,1,NA,1,1,0,NA,10,161,342,44,85,0.320079522862823,0.341085271317829,-0.0210057484550064,-0.089584126931549,0.0685783784765426,632
"4",1,0,0,0,1,NA,1,1,0,NA,11,4,105,2,48,0.036697247706422,0.04,-0.00330275229357798,0.0113707165109034,0.0146734688044814,159
"5",NA,0,0,0,1,NA,1,1,1,NA,12,257,456,66,200,0.360448807854137,0.24812030075188,0.112328507102258,0.0858451250242295,0.0264833820780283,979
"6",NA,0,0,0,1,NA,0,1,NA,NA,13,330,525,390,2697,0.385964912280702,0.126336248785228,0.259628663495473,0.25995154738989,0.000322883894416204,3942
"7",0,1,0,0,1,NA,NA,1,NA,NA,14,315,162,210,513,0.660377358490566,0.29045643153527,0.369920926955296,0.370256102864262,0.000335175908965646,1200
"8",NA,NA,NA,NA,0,NA,NA,1,NA,NA,15,5195,7074,5337,63482,0.423424892004238,0.0775512576468708,0.345873634357368,0.341464089151416,0.00440954520595188,81088
