"","age.30","age.60","wkcls.private","wkcls.self_emp","wkcls.gov","educ.12","occ.prof","sex.male","hours.full","income.50K","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,0,0,1,NA,1,0,NA,NA,5,297,1827,53,483,0.139830508474576,0.0988805970149254,0.0409499114596509,-0.0052149566667023,0.0461648681263532,2660
"2",1,0,0,0,1,NA,0,0,1,NA,8,2,61,3,279,0.0317460317460317,0.0106382978723404,0.0211077338736913,-0.0205278592375367,0.041635593111228,345
"3",1,0,0,0,1,NA,0,0,0,NA,9,2,61,2,406,0.0317460317460317,0.00490196078431373,0.026844070961718,0.0153555695405916,0.0114885014211265,471
"4",0,0,0,0,1,NA,0,0,NA,NA,10,85,465,69,2558,0.154545454545455,0.0262657023220404,0.128279752223414,0.166906597121607,0.0386268448981931,3177
"5",NA,0,NA,NA,0,NA,NA,0,NA,NA,11,990,6285,752,55607,0.136082474226804,0.0133430330559449,0.122739441170859,0.121289504326753,0.00144993684410624,63634
"6",0,1,NA,NA,NA,NA,NA,0,NA,NA,12,260,1534,319,13507,0.144927536231884,0.0230724721539129,0.121855064077971,0.137416676460707,0.0155616123827358,15620
"7",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,13,6276,8732,6043,67106,0.41817697228145,0.0826122024908064,0.335564769790643,0.33506794865156,0.00049682113908317,88157
