"","age.30","age.60","wkcls.private","wkcls.self_emp","wkcls.gov","educ.12","occ.prof","sex.male","hours.full","income.50K","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,0,0,1,NA,1,0,NA,NA,5,287,1745,67,500,0.141240157480315,0.118165784832451,0.0230743726478635,0.0138744212962963,0.00919995135156718,2599
"2",1,0,0,0,1,NA,0,0,1,NA,8,2,66,8,288,0.0294117647058824,0.027027027027027,0.00238473767885532,-0.00611620795107034,0.00850094562992566,364
"3",1,0,0,0,1,NA,0,0,0,NA,9,0,66,2,420,0,0.004739336492891,-0.004739336492891,0.0460651289009498,0.0508044653938408,488
"4",0,0,0,0,1,NA,0,0,NA,NA,10,90,439,72,2563,0.170132325141777,0.0273244781783681,0.142807846963409,0.150017321642835,0.00720947467942634,3164
"5",NA,0,NA,NA,0,NA,NA,0,NA,NA,11,1011,6389,773,55570,0.136621621621622,0.0137195392506611,0.12290208237096,0.121088920702647,0.00181316166831334,63743
"6",0,1,0,NA,NA,NA,NA,0,NA,NA,13,178,1264,183,11257,0.123439667128988,0.0159965034965035,0.107443163632484,0.113500209092538,0.00605704546005437,12882
"7",0,1,1,0,0,NA,NA,0,NA,NA,14,100,301,132,2211,0.249376558603491,0.0563380281690141,0.193038530434477,0.19798511552098,0.004946585086503,2744
"8",0,0,0,0,1,NA,1,1,0,NA,20,154,375,38,93,0.291115311909263,0.290076335877863,0.00103897603140019,-0.115621724376854,0.116660700408255,660
"9",1,0,0,0,1,NA,1,1,0,NA,21,3,112,3,54,0.0260869565217391,0.0526315789473684,-0.0265446224256293,0.0396039603960396,0.0661485828216689,172
"10",NA,0,0,0,1,NA,1,1,1,NA,22,286,448,75,197,0.389645776566757,0.275735294117647,0.11391048244911,0.0829629327570036,0.0309475496921068,1006
"11",NA,0,0,0,1,NA,0,1,1,NA,24,155,234,229,1290,0.398457583547558,0.150757077024358,0.2477005065232,0.259321279296161,0.0116207727729615,1908
"12",NA,0,0,0,1,NA,0,1,0,NA,25,163,282,170,1437,0.366292134831461,0.105787181082763,0.260504953748698,0.273299856036197,0.0127949022874989,2052
"13",0,1,0,0,1,NA,NA,1,NA,NA,26,319,157,226,499,0.670168067226891,0.311724137931034,0.358443929295856,0.381825933548956,0.0233820042531,1201
"14",NA,NA,NA,NA,0,NA,NA,1,NA,NA,27,5146,7077,5205,63653,0.421009572118138,0.0755903453483981,0.34541922676974,0.341932962057201,0.00348626471253899,81081
