"","mens","womens","newbie","segment","visit","conversion","recency_1","recency_10","recency_11","recency_12","recency_2","recency_3","recency_4","recency_5","recency_6","recency_7","recency_8","recency_9","recency_1.1","recency_2.1","recency_3.1","recency_4.1","recency_5.1","recency_6.1","recency_7.1","zip_code_Rural","zip_code_Surburban","zip_code_Urban","channel_Multichannel","channel_Phone","channel_Web","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,0,0,1,4,4,20,4,18,0.166666666666667,0.181818181818182,-0.0151515151515152,-0.254563894523327,0.239412379371811,46
"2",1,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,5,6,50,10,57,0.107142857142857,0.149253731343284,-0.0421108742004264,-0.0471014492753623,0.00499057507493589,123
"3",1,0,NA,NA,NA,NA,1,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,11,30,148,17,136,0.168539325842697,0.111111111111111,0.0574282147315855,-0.0922646515920627,0.149692866323648,331
"4",1,0,1,NA,NA,0,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NA,NA,NA,NA,14,2,26,0,23,0.0714285714285714,0,0.0714285714285714,-0.192640692640693,0.264069264069264,51
"5",1,0,1,NA,NA,NA,1,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,15,7,72,10,81,0.0886075949367089,0.10989010989011,-0.021282514953401,-0.0223752151462995,0.00109270019289845,170
"6",1,0,0,NA,NA,NA,1,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,1,0,17,9,50,10,45,0.152542372881356,0.181818181818182,-0.0292758089368259,-0.0469057942451715,0.0176299853083456,114
"7",1,0,0,NA,NA,NA,1,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,18,12,47,15,55,0.203389830508475,0.214285714285714,-0.0108958837772397,0.127106403466538,0.138002287243778,129
"8",1,0,NA,NA,NA,NA,1,0,NA,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,19,24,154,23,158,0.134831460674157,0.12707182320442,0.0077596374697374,0.0277385657820441,0.0199789283123067,359
"9",1,0,0,NA,NA,NA,0,0,NA,0,0,1,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,22,44,168,29,182,0.207547169811321,0.137440758293839,0.0701064115174819,-0.0489771151178918,0.119083526635374,423
"10",1,0,1,NA,NA,0,0,0,NA,0,0,1,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,22,169,23,184,0.115183246073298,0.111111111111111,0.00407213496218732,0.0183827806864456,0.0143106457242583,398
