"","mens","womens","newbie","segment","visit","conversion","recency_1","recency_10","recency_11","recency_12","recency_2","recency_3","recency_4","recency_5","recency_6","recency_7","recency_8","recency_9","recency_1.1","recency_2.1","recency_3.1","recency_4.1","recency_5.1","recency_6.1","recency_7.1","zip_code_Rural","zip_code_Surburban","zip_code_Urban","channel_Multichannel","channel_Phone","channel_Web","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"41",NA,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,83,9,53,3,64,0.145161290322581,0.0447761194029851,0.100385170919596,0.0993694829760404,0.00101568794355524,129
"42",1,1,1,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,0,1,0,87,2,12,2,10,0.142857142857143,0.166666666666667,-0.0238095238095238,-0.167391304347826,0.143581780538302,26
"43",1,1,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,0,1,0,88,16,55,16,87,0.225352112676056,0.155339805825243,0.0700123068508136,0.0105263157894737,0.0594859910613399,174
"44",1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,89,11,39,14,43,0.22,0.245614035087719,-0.0256140350877193,0.121794871794872,0.147408906882591,107
"45",0,1,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,1,0,92,10,50,5,55,0.166666666666667,0.0833333333333333,0.0833333333333333,-0.0589543937708565,0.14228772710419,120
"46",0,1,1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,1,0,93,3,55,2,61,0.0517241379310345,0.0317460317460317,0.0199781061850027,0.0961538461538462,0.0761757399688434,121
"47",0,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,1,0,97,7,42,6,39,0.142857142857143,0.133333333333333,0.00952380952380952,-0.110822510822511,0.12034632034632,94
"48",0,1,1,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,99,4,18,0,12,0.181818181818182,0,0.181818181818182,-0.08,0.261818181818182,34
"49",0,1,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,0,100,6,29,1,37,0.171428571428571,0.0263157894736842,0.145112781954887,0.119047619047619,0.0260651629072682,73
"50",0,1,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,1,0,101,6,50,5,56,0.107142857142857,0.0819672131147541,0.025175644028103,0.104954367666232,0.079778723638129,117
"51",0,1,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,102,192,1032,83,1115,0.156862745098039,0.0692821368948247,0.0875806082032145,0.090682621313223,0.00310201311000852,2422
"52",NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,0,NA,104,25,61,16,59,0.290697674418605,0.213333333333333,0.0773643410852713,-0.0386363636363636,0.116000704721635,161
"53",1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0,0,NA,0,NA,NA,0,NA,111,14,42,9,39,0.25,0.1875,0.0625,-0.149230769230769,0.211730769230769,104
"54",1,1,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,NA,0,NA,112,7,28,8,46,0.2,0.148148148148148,0.0518518518518519,0.0404040404040404,0.0114478114478115,89
"55",0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,NA,113,46,153,30,152,0.231155778894472,0.164835164835165,0.0663206140593075,0.0491910442882824,0.0171295697710251,381
"56",NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,NA,114,8,33,1,32,0.195121951219512,0.0303030303030303,0.164818920916482,0.28003613369467,0.115217212778188,74
"57",NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,115,304,1264,150,1455,0.193877551020408,0.0934579439252336,0.100419607095175,0.0901604406427558,0.0102591664524188,3173
"58",NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,117,30,124,20,152,0.194805194805195,0.116279069767442,0.078526125037753,0.125921348810522,0.0473952237727692,326
"59",NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,NA,0,1,0,0,NA,0,NA,118,4,26,3,25,0.133333333333333,0.107142857142857,0.0261904761904762,0.32010582010582,0.293915343915344,58
"60",NA,1,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,119,26,108,15,95,0.194029850746269,0.136363636363636,0.0576662143826323,0.182156889310392,0.124490674927759,244
