,pldel,birattnd,mager8,ormoth,mrace,meduc6,dmar,mplbir,mpre5,adequacy,orfath,frace,gestat10,anemia,cardiac,lung,diabetes,herpes,hydra,hemo,chyper,phyper,eclamp,incervix,pre4000,preterm,renal,rh,uterine,othermr,tobacco,alcohol,cigar6,drink5,nprevistq,dfageq,feduc6,dlivord_min,dtotord_min,mplbir_reg,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,,,,0.0,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,1.0,0.284153,65,213,55,128,0.23381294964028776,0.3005464480874317,-0.06673349844714394,0.3508864984471439,461
1,,,,,1.0,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,0.301075,39,121,30,84,0.24375,0.2631578947368421,-0.019407894736842096,0.3204828947368421,274
2,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,,1.0,,,0.063694,7,175,3,112,0.038461538461538464,0.02608695652173913,0.012374581939799335,0.05131941806020067,297
3,,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.333333,62,181,43,114,0.2551440329218107,0.27388535031847133,-0.01874131739666063,0.3520743173966606,400
4,1.0,,1.0,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,0.28125,26,120,27,77,0.1780821917808219,0.25961538461538464,-0.08153319283456273,0.36278319283456273,250
5,1.0,,,,,,,1.0,,,,,1.0,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,1.0,,,,,,0.030303,1,121,4,89,0.00819672131147541,0.043010752688172046,-0.034814031376696634,0.06511703137669664,215
6,1.0,,,,,,,0.0,,,,,1.0,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,1.0,,,,,,0.053763,3,164,4,72,0.017964071856287425,0.05263157894736842,-0.03466750709108099,0.088430507091081,243
7,1.0,,,,,,,,,,,,1.0,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,0.008333,3,145,1,121,0.02027027027027027,0.00819672131147541,0.012073548958794861,0.003740548958794861,270
