"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"2","11",2310,1379,931,-0.0297534990485641,NA,NA,NA,NA,NA,2310,185,1150,145,832,-0.00983673172096802,0.0199167673275961,2312
"217","12",101,64,37,-0.286317567567568,NA,NA,NA,NA,NA,101,15,34,22,27,-0.142857142857143,0.143460424710425,98
