"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"5","11111",1055,615,440,-0.0931633407243163,NA,NA,NA,NA,NA,1055,128,481,119,276,-0.0910851988110827,0.00207814191323363,1004
"111","111121",729,426,303,0.0121089573746107,NA,NA,NA,NA,NA,729,9,444,6,340,0.00252650920644643,0.00958244816816427,799
"168","111122",19,12,7,-0.285714285714286,NA,NA,NA,NA,NA,19,0,11,0,7,0,0.285714285714286,18
"169","1112",474,290,184,0.0336206896551724,NA,NA,NA,NA,NA,474,43,227,39,163,-0.0338100476714338,0.0674307373266062,472
"218","112",58,37,21,0.235521235521236,NA,NA,NA,NA,NA,58,6,19,4,23,0.0918518518518519,0.143669383669384,52
"225","12",76,46,30,0.271014492753623,NA,NA,NA,NA,NA,76,6,27,8,24,-0.0681818181818182,0.339196310935441,65
