"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"2","11",336,156,180,-0.161965811965812,NA,NA,NA,NA,NA,336,59,124,85,103,-0.129723287989769,0.0322425239760433,371
"43","1211",1175,554,621,0.124566176598825,NA,NA,NA,NA,NA,1175,238,323,180,398,0.112823739121317,0.0117424374775075,1139
"175","12121",254,135,119,-0.194086523498288,NA,NA,NA,NA,NA,254,30,86,66,60,-0.265188834154351,0.0711023106560633,242
"204","12122",1374,694,680,0.0285005933209019,NA,NA,NA,NA,NA,1374,207,445,227,415,-0.0360978919404468,0.0645984852613487,1294
"367","12211",194,104,90,0.248076923076923,NA,NA,NA,NA,NA,194,50,37,49,58,0.116768718444516,0.131308204632407,194
"393","122121",312,168,144,0.106150793650794,NA,NA,NA,NA,NA,312,43,110,27,116,0.0922345628227981,0.0139162308279955,296
"431","1221221",298,130,168,0.0673076923076923,NA,NA,NA,NA,NA,298,19,121,26,135,-0.025776397515528,0.0930840898232203,301
"465","12212221",1132,592,540,-0.0504379379379379,NA,NA,NA,NA,NA,1132,85,495,60,480,0.0354406130268199,0.0858785509647579,1120
"569","12212222111",42,19,23,-0.121281464530892,NA,NA,NA,NA,NA,42,1,21,1,14,-0.0212121212121212,0.100069343318771,37
"572","12212222112",16,10,6,0.6,NA,NA,NA,NA,NA,16,4,3,2,15,0.453781512605042,0.146218487394958,24
"575","122122221211",61,34,27,0.147058823529412,NA,NA,NA,NA,NA,61,1,28,3,29,-0.0592672413793103,0.206326064908722,61
"582","122122221212",2665,1365,1300,-0.00575091575091575,NA,NA,NA,NA,NA,2665,43,1293,48,1299,-0.00344911513276343,0.00230180061815232,2683
"597","12212222122",269,133,136,-0.0720367094206104,NA,NA,NA,NA,NA,269,16,132,14,140,0.0171990171990172,0.0892357266196276,302
"624","122122222",188,100,88,0.128181818181818,NA,NA,NA,NA,NA,188,29,64,16,93,0.165038966163559,0.0368571479817411,202
"647","1222",1684,829,855,-0.0328374212572041,NA,NA,NA,NA,NA,1684,188,714,202,630,-0.034362740917619,0.00152531966041483,1734
