"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"4","1111",559,286,273,-0.0521145521145521,NA,NA,NA,NA,NA,559,32,271,31,250,-0.00470972364140329,0.0474048284731488,584
"66","11121",3143,1564,1579,-0.00342328742494602,NA,NA,NA,NA,NA,3143,57,1519,65,1496,-0.00547246168504506,0.00204917426009904,3137
"185","11122",810,405,405,0.0567901234567901,NA,NA,NA,NA,NA,810,60,334,46,328,0.0292896115529738,0.0275005119038164,768
"277","1121",524,267,257,0.235532432708142,NA,NA,NA,NA,NA,524,130,137,90,166,0.13532888576779,0.100203546940352,523
"346","1122",1488,711,777,0.0715561854802361,NA,NA,NA,NA,NA,1488,270,475,242,511,0.0410349652842767,0.0305212201959594,1498
"536","121",991,518,473,0.0251210134931065,NA,NA,NA,NA,NA,991,144,353,121,400,0.0574927492015432,0.0323717357084368,1018
"654","1221",1400,683,717,-0.144409662025154,NA,NA,NA,NA,NA,1400,220,490,269,421,-0.0799959175341907,0.0644137444909629,1400
"829","122211",54,29,25,-0.467586206896552,NA,NA,NA,NA,NA,54,7,13,15,17,-0.11875,0.348836206896552,52
"834","122212",621,323,298,-0.0568911421862988,NA,NA,NA,NA,NA,621,47,266,72,234,-0.0851343732381131,0.0282432310518144,619
"905","12222",410,223,187,0.0520611016522386,NA,NA,NA,NA,NA,410,40,158,32,171,0.0443847340399064,0.00767636761233212,401
