"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"4","1111",192,96,96,0.0208333333333333,NA,NA,NA,NA,NA,192,67,34,66,49,0.0894532931554025,0.0686199598220693,216
"25","1112",273,130,143,0.303496503496504,NA,NA,NA,NA,NA,273,108,33,74,73,0.262556086264293,0.0409404172322106,288
"64","11211",428,208,220,-0.0276223776223776,NA,NA,NA,NA,NA,428,67,148,65,170,0.0350321622958931,0.0626545399182707,450
"118","112121",57,32,25,0.55375,NA,NA,NA,NA,NA,57,11,23,6,20,0.0927601809954751,0.460989819004525,60
"123","112122",423,200,223,0.130112107623318,NA,NA,NA,NA,NA,423,64,138,41,181,0.132146998483632,0.00203489086031378,424
"175","11221",3415,1762,1653,-0.0107086966702442,NA,NA,NA,NA,NA,3415,79,1612,67,1623,0.00707294797728315,0.0177816446475274,3381
"238","11222",1761,869,892,0.0430124311744338,NA,NA,NA,NA,NA,1761,160,677,147,682,0.0138368260474179,0.0291756051270159,1666
"445","1211",105,51,54,0.164488017429194,NA,NA,NA,NA,NA,105,5,45,7,43,-0.04,0.204488017429194,100
"456","1212",1929,973,956,-0.111980588870207,NA,NA,NA,NA,NA,1929,283,760,355,637,-0.0865302090743204,0.0254503797958865,2035
"691","122",1417,733,684,0.0235354188107832,NA,NA,NA,NA,NA,1417,185,479,190,526,0.0132513293397052,0.0102840894710781,1380
