"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"4","1111",155,72,83,0.163821954484605,NA,NA,NA,NA,NA,155,18,63,12,56,0.0457516339869281,0.118070320497677,149
"22","11121",234,108,126,0.0740740740740741,NA,NA,NA,NA,NA,234,24,97,21,116,0.0450624359051698,0.0290116381689043,258
"46","111221",491,254,237,-0.0568457423834679,NA,NA,NA,NA,NA,491,20,254,29,223,-0.0420866643494381,0.0147590780340298,526
"105","11122211",64,34,30,-0.203921568627451,NA,NA,NA,NA,NA,64,3,33,2,26,0.0119047619047619,0.215826330532213,64
"113","111222121",12,7,5,-0.4,NA,NA,NA,NA,NA,12,1,7,0,10,0.125,0.525,18
"114","111222122",2794,1372,1422,-0.00899956124704252,NA,NA,NA,NA,NA,2794,47,1430,45,1367,-4.84290758581557e-05,0.00895113217118437,2889
"167","1112222",672,329,343,0.047143477451771,NA,NA,NA,NA,NA,672,39,316,29,291,0.0192341549295775,0.0279093225221935,675
"242","11211",25,14,11,-0.37012987012987,NA,NA,NA,NA,NA,25,7,4,1,3,0.386363636363636,0.756493506493507,15
"245","11212",503,263,240,0.237214828897338,NA,NA,NA,NA,NA,503,126,120,92,166,0.155605974664398,0.0816088542329407,504
"306","1122",1507,729,778,0.0517665146818722,NA,NA,NA,NA,NA,1507,278,449,242,510,0.0605848868857737,0.00881837220390147,1479
"498","121",756,367,389,-0.157491787087691,NA,NA,NA,NA,NA,756,98,302,122,218,-0.113823529411765,0.0436682576759261,740
"594","1221",137,62,75,-0.248602150537634,NA,NA,NA,NA,NA,137,29,54,40,37,-0.170082929119074,0.0785192214185608,160
"611","1222",2650,1337,1313,0.00189178920193378,NA,NA,NA,NA,NA,2650,328,937,359,899,-0.0260850713536135,0.0279768605555473,2523
