"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",486,221,265,0.160215145564757,NA,NA,NA,NA,NA,486,179,68,120,116,0.216221780004117,0.05600663443936,483
"64","11211",457,210,247,-0.00079043763254294,NA,NA,NA,NA,NA,457,68,145,64,144,0.0115565185987721,0.012346956231315,421
"117","11212",519,248,271,0.176005832638972,NA,NA,NA,NA,NA,519,72,148,44,181,0.131717171717172,0.0442886609217998,445
"175","11221",334,162,172,0.100129198966408,NA,NA,NA,NA,NA,334,29,140,33,171,0.00983292725374171,0.0902962717126665,373
"217","11222111",56,29,27,-0.0421455938697318,NA,NA,NA,NA,NA,56,2,34,2,25,-0.0185185185185185,0.0236270753512133,63
"223","112221121",19,10,9,0,NA,NA,NA,NA,NA,19,4,9,4,7,-0.0559440559440559,0.0559440559440559,24
"224","112221122",27,14,13,-0.615384615384615,NA,NA,NA,NA,NA,27,1,5,0,13,0.166666666666667,0.782051282051282,19
"228","11222121",417,210,207,0.0796411318150449,NA,NA,NA,NA,NA,417,30,194,33,179,-0.0217318059299191,0.101372937744964,436
"272","112221221",35,15,20,0.183333333333333,NA,NA,NA,NA,NA,35,2,13,4,8,-0.2,0.383333333333333,27
"275","112221222",2788,1416,1372,-0.0165332476816392,NA,NA,NA,NA,NA,2788,44,1366,32,1321,0.00755452815650013,0.0240877758381394,2763
"308","112222",1430,735,695,0.0213184554397298,NA,NA,NA,NA,NA,1430,135,560,118,599,0.0296699878590851,0.00835153241935527,1412
"456","121",706,360,346,-0.151284521515735,NA,NA,NA,NA,NA,706,91,316,132,251,-0.121060295995022,0.0302242255207135,790
"541","122",2726,1352,1374,-0.0189669948235618,NA,NA,NA,NA,NA,2726,371,1024,394,955,-0.0261183778771478,0.00715138305358598,2744
