"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",473,231,242,0.269382133018497,NA,NA,NA,NA,NA,473,165,72,152,107,0.109329944772983,0.160052188245514,496
"62","11211",522,280,242,-0.058913813459268,NA,NA,NA,NA,NA,522,28,246,31,247,-0.00932101034500867,0.0495928031142593,552
"116","112121",748,371,377,0.0552810884626109,NA,NA,NA,NA,NA,748,57,336,40,312,0.0314018043025677,0.0238792841600433,745
"198","112122111",21,10,11,0,NA,NA,NA,NA,NA,21,1,10,3,11,-0.123376623376623,0.123376623376623,25
"200","1121221121",12,5,7,0.8,NA,NA,NA,NA,NA,12,1,3,2,6,0,0.8,12
"201","1121221122",11,5,6,0,NA,NA,NA,NA,NA,11,2,9,0,6,0.181818181818182,0.181818181818182,17
"202","11212212",124,55,69,0.000263504611330692,NA,NA,NA,NA,NA,124,6,38,6,51,0.0311004784688995,0.0308369738575688,101
"218","11212221",86,36,50,-0.144444444444444,NA,NA,NA,NA,NA,86,11,42,7,44,0.0702922678505364,0.214736712294981,104
"228","112122221",29,14,15,0.223809523809524,NA,NA,NA,NA,NA,29,0,10,0,8,0,0.223809523809524,18
"231","112122222",2904,1484,1420,-0.00577426825101553,NA,NA,NA,NA,NA,2904,39,1390,48,1411,-0.00560743360268136,0.000166834648334165,2888
"296","1122",1578,802,776,0.0613864822479883,NA,NA,NA,NA,NA,1578,225,534,184,625,0.0690014022093347,0.00761491996134644,1568
"496","121",995,498,497,0.047703894047013,NA,NA,NA,NA,NA,995,150,367,126,371,0.0366142697578118,0.0110896242892012,1014
"622","1221",1088,542,546,-0.153690712731303,NA,NA,NA,NA,NA,1088,164,372,189,328,-0.0596004503594215,0.0940902623718817,1053
"749","1222",1409,683,726,-0.0425988891981172,NA,NA,NA,NA,NA,1409,147,591,189,480,-0.0833242188924131,0.0407253296942959,1407
