"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"4","1111",157,78,79,0.155144433625446,NA,NA,NA,NA,NA,157,15,60,10,62,0.0611111111111111,0.0940333225143352,147
"21","111211",27,13,14,0.318681318681319,NA,NA,NA,NA,NA,27,4,7,2,18,0.263636363636364,0.055044955044955,31
"24","111212",511,259,252,-0.0853710853710854,NA,NA,NA,NA,NA,511,23,246,23,214,-0.0115445547660502,0.0738265306050351,506
"83","11122",3817,1872,1945,-0.000545723199964841,NA,NA,NA,NA,NA,3817,108,1843,94,1760,0.00465504095208553,0.00520076415205038,3805
"207","1121",1371,676,695,0.0302945809033247,NA,NA,NA,NA,NA,1371,269,389,238,461,0.0683281805097165,0.0380335996063917,1357
"368","1122",646,334,312,0.186703516044833,NA,NA,NA,NA,NA,646,143,179,91,246,0.174069705291483,0.0126338107533503,659
"446","121",992,490,502,0.0388974713391333,NA,NA,NA,NA,NA,992,151,374,119,373,0.0457491289198606,0.00685165758072731,1017
"576","1221",1719,865,854,-0.127308416022526,NA,NA,NA,NA,NA,1719,197,647,291,556,-0.110153203108826,0.0171552129137001,1691
"779","1222",760,391,369,0.00643198247839258,NA,NA,NA,NA,NA,760,107,292,108,280,-0.0101800893987546,0.0166120718771472,787
