"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,1,1,NA,1,NA,0,0,0,NA,1,NA,NA,5,191,9666,33,1738,0.0193770924216293,0.0186335403726708,0.000743552048958492,-0.00564827408149169,0.00639182613045018,11628
"2",NA,0,NA,1,NA,1,NA,0,1,0,NA,1,NA,NA,6,89,46371,15,8332,0.00191562634524322,0.0017970528333533,0.000118573511889919,0.000278515015451309,0.00015994150356139,54807
"3",NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,NA,7,143,8366,15,1454,0.0168057351040075,0.010211027910143,0.00659470719386457,0.00770623882683309,0.00111153163296852,9978
"4",NA,0,NA,1,1,1,NA,0,NA,1,NA,0,NA,NA,10,198,313,29,46,0.38747553816047,0.386666666666667,0.000808871493802987,-0.0887265135699374,0.0895353850637404,586
"5",NA,0,NA,1,NA,1,NA,0,NA,1,NA,1,NA,NA,11,1521,8936,228,1713,0.145452806732332,0.117465224111283,0.0279875826210496,0.0132076758833335,0.0147799067377161,12398
"6",NA,0,0,0,1,1,NA,0,NA,1,NA,0,NA,NA,14,205,152,27,20,0.574229691876751,0.574468085106383,-0.000238393229632372,-0.0710232390560259,0.0707848458263935,404
"7",NA,0,1,0,1,1,NA,0,0,1,1,0,NA,NA,15,25,87,1,22,0.223214285714286,0.0434782608695652,0.179736024844721,0.0493333333333333,0.130402691511387,135
"8",NA,0,NA,0,0,1,NA,0,1,1,0,1,NA,NA,17,15,444,3,90,0.0326797385620915,0.032258064516129,0.000421674045962474,-0.0388443017656501,0.0392659758116126,552
"9",NA,0,NA,0,NA,1,NA,0,0,1,NA,1,NA,NA,18,1016,2696,121,474,0.273706896551724,0.203361344537815,0.070345552013909,0.0755727941114702,0.00522724209756123,4307
"10",NA,0,NA,NA,NA,0,0,1,1,0,NA,1,NA,NA,23,10,1174,0,213,0.00844594594594595,0,0.00844594594594595,-0.0117965367965368,0.0202424827424827,1397
"11",0,0,NA,NA,0,0,1,1,1,0,0,1,NA,NA,25,0,120,0,22,0,0,0,0,0,142
"12",1,0,NA,NA,0,0,1,1,1,0,0,1,NA,NA,26,1,297,0,52,0.00335570469798658,0,0.00335570469798658,0.00696864111498258,0.003612936416996,350
"13",NA,1,NA,NA,0,0,NA,NA,1,0,0,1,NA,NA,27,2,200,0,24,0.0099009900990099,0,0.0099009900990099,0.00881057268722467,0.00109041741178523,226
"14",NA,NA,1,NA,NA,0,NA,NA,0,0,NA,1,NA,NA,28,55,905,1,132,0.0572916666666667,0.0075187969924812,0.0497728696741855,0.0404467057054174,0.00932616396876803,1093
"15",NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,30,135,505,12,79,0.2109375,0.131868131868132,0.0790693681318681,0.0718840579710145,0.00718531016085364,731
"16",NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,31,504,611,47,103,0.452017937219731,0.313333333333333,0.138684603886398,0.212224304980768,0.0735397010943707,1265
