"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,NA,1,1,1,NA,0,NA,1,NA,0,NA,NA,4,202,306,32,49,0.397637795275591,0.395061728395062,0.00257606688052886,-0.0995850622406639,0.102161129121193,589
"2",NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,5,1789,65179,269,11754,0.0267142515828455,0.0223737835814689,0.00434046800137669,0.00108122635979999,0.00325924164157669,78991
"3",NA,NA,1,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,7,43,719,3,141,0.0564304461942257,0.0208333333333333,0.0355971128608924,-0.00299724935976477,0.0385943622206572,906
"4",0,NA,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,10,1,135,0,27,0.00735294117647059,0,0.00735294117647059,0,0.00735294117647059,163
"5",1,NA,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,11,10,260,1,58,0.037037037037037,0.0169491525423729,0.0200878844946642,0.024822695035461,0.00473481054079684,329
"6",1,NA,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,12,43,856,6,164,0.0478309232480534,0.0352941176470588,0.0125368056009946,0.0566099578585922,0.0440731522575976,1069
"7",NA,NA,0,0,0,0,NA,NA,1,0,0,1,NA,NA,16,3,348,0,53,0.00854700854700855,0,0.00854700854700855,0,0.00854700854700855,404
"8",NA,0,0,0,0,1,NA,0,1,0,0,1,NA,NA,17,28,5822,1,1020,0.00478632478632479,0.000979431929480901,0.00380689285684388,0.00229659834373884,0.00151029451310505,6871
"9",1,NA,1,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,19,18,452,1,79,0.0382978723404255,0.0125,0.0257978723404255,-0.0106498951781971,0.0364477675186226,550
"10",0,NA,1,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,20,148,2542,16,435,0.0550185873605948,0.0354767184035477,0.0195418689570471,0.0296611535609504,0.0101192846039033,3141
"11",NA,NA,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,23,155,359,21,88,0.301556420233463,0.192660550458716,0.108895869774747,-0.0602898550724638,0.169185724847211,623
"12",NA,NA,1,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,24,36,573,5,108,0.0591133004926108,0.0442477876106195,0.0148655128819914,0.0456417751793782,0.0307762622973868,722
"13",NA,NA,NA,0,0,NA,0,NA,1,1,0,1,NA,NA,26,10,277,2,47,0.0348432055749129,0.0408163265306122,-0.00597312095569935,-0.00751053306466386,0.00153741210896451,336
"14",NA,1,NA,0,1,0,0,NA,0,1,1,NA,NA,NA,29,129,103,12,26,0.556034482758621,0.315789473684211,0.24024500907441,-0.0197893392914139,0.260034348365824,270
"15",NA,0,NA,0,1,NA,0,NA,0,1,1,NA,NA,NA,30,477,511,67,74,0.482793522267206,0.475177304964539,0.00761621730266743,0.121715796740872,0.114099579438205,1129
"16",NA,NA,NA,0,NA,NA,0,0,0,1,0,NA,NA,NA,32,690,1816,76,300,0.275339185953711,0.202127659574468,0.073211526379243,0.0913102998177376,0.0180987734384945,2882
"17",NA,NA,NA,0,NA,0,0,1,0,1,0,NA,NA,NA,33,313,572,24,115,0.353672316384181,0.172661870503597,0.181010445880584,0.174153887725461,0.00685655815512262,1024
