"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,3,282,57694,59,10450,0.00486408168897475,0.0056142354172614,-0.000750153728286647,0.000641640533726865,0.00139179426201351,68485
"2",NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,5,185,8890,15,1555,0.0203856749311295,0.00955414012738853,0.0108315348037409,0.00777138593730857,0.00306014886643237,10645
"3",NA,1,NA,0,NA,0,NA,NA,NA,0,NA,1,NA,NA,6,8,221,0,38,0.0349344978165939,0,0.0349344978165939,0.0327272727272727,0.00220722508932115,267
"4",NA,0,NA,NA,NA,1,NA,0,1,1,NA,NA,NA,NA,9,57,3469,6,683,0.0161656267725468,0.00870827285921625,0.00745735391333054,-0.00288295394786267,0.0103403078611932,4215
"5",NA,0,0,NA,1,1,NA,0,0,1,NA,0,NA,NA,12,390,334,55,45,0.538674033149171,0.55,-0.0113259668508288,-0.0619834710743802,0.0506575042235514,824
"6",NA,0,1,NA,1,1,NA,0,0,1,1,0,NA,NA,13,44,176,7,28,0.2,0.2,0,0.0977625036560398,0.0977625036560398,255
"7",NA,0,1,1,NA,1,NA,0,0,1,NA,1,NA,NA,16,380,3200,65,606,0.106145251396648,0.0968703427719821,0.00927490862466593,0.007138250123,0.00213665850166593,4251
"8",NA,0,0,1,NA,1,NA,0,0,1,NA,1,NA,NA,17,1112,2822,195,530,0.28266395526182,0.268965517241379,0.0136984380204407,0.0616566810624565,0.0479582430420158,4659
"9",NA,0,NA,0,NA,1,NA,0,0,1,NA,1,NA,NA,18,1022,2796,121,476,0.267679413305396,0.202680067001675,0.0649993463037205,0.0811025891671053,0.0161032428633848,4415
"10",NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,19,670,1073,70,171,0.384394721744119,0.29045643153527,0.0939382902088496,0.182014439726162,0.088076149517312,1984
