"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,1,NA,NA,4,269,55838,56,10112,0.00479441067959435,0.00550747442958301,-0.000713063749988659,0.000227570351668494,0.000940634101657152,66275
"2",NA,NA,NA,0,NA,NA,NA,0,1,0,NA,1,NA,NA,6,42,6507,1,1163,0.00641319285387082,0.000859106529209622,0.0055540863246612,0.00202087196937079,0.00353321435529041,7713
"3",NA,0,1,0,NA,1,NA,0,0,0,NA,1,NA,NA,7,104,1757,13,272,0.0558839333691564,0.0456140350877193,0.0102698982814371,0.0212215320910973,0.0109516338096602,2146
"4",NA,1,0,NA,0,0,NA,1,1,0,0,1,NA,NA,10,1,189,0,26,0.00526315789473684,0,0.00526315789473684,0,0.00526315789473684,216
"5",NA,0,0,NA,0,0,NA,1,1,0,0,1,NA,NA,11,4,1286,2,241,0.00310077519379845,0.00823045267489712,-0.00512967748109867,0.00309597523219814,0.00822565271329681,1533
"6",NA,NA,1,1,NA,0,NA,1,NA,0,NA,1,NA,NA,13,19,636,2,123,0.0290076335877863,0.016,0.0130076335877863,0.0269058295964126,0.0138981960086263,780
"7",NA,NA,1,0,NA,0,NA,1,NA,0,NA,1,NA,NA,14,54,550,5,93,0.0894039735099338,0.0510204081632653,0.0383835653466685,0.062548702841395,0.0241651374947266,702
"8",NA,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,17,1702,9475,288,1749,0.152276997405386,0.141384388807069,0.0108926085983168,0.0292342181501403,0.0183416095518235,13214
"9",NA,NA,NA,1,NA,0,NA,1,NA,1,NA,NA,NA,NA,18,86,204,9,38,0.296551724137931,0.191489361702128,0.105062362435803,0.128070750081887,0.0230083876460833,337
"10",NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,19,1821,4301,205,754,0.297451813132963,0.213764337851929,0.083687475281034,0.0840430077047426,0.000355532423708588,7081
