"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,1,1,1,NA,NA,NA,NA,0,1,1,NA,NA,4,29,769,5,133,0.0363408521303258,0.036231884057971,0.000108968072354797,-0.0284803132202962,0.028589281292651,936
"2",NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,NA,NA,5,265,57106,49,10171,0.00461905840930087,0.00479452054794521,-0.000175462138644339,0.000542081041004555,0.000717543179648894,67591
"3",NA,NA,0,0,0,0,NA,NA,1,0,0,1,NA,NA,8,3,369,0,55,0.00806451612903226,0,0.00806451612903226,0,0.00806451612903226,427
"4",NA,0,0,0,0,1,1,0,1,0,0,1,NA,NA,10,4,2636,0,514,0.00151515151515152,0,0.00151515151515152,0.00231749710312862,0.000802345587977106,3154
"5",NA,0,0,0,0,1,0,0,1,0,0,1,NA,NA,11,18,3269,2,543,0.00547611804076666,0.0036697247706422,0.00180639327012445,0.00591357936525072,0.00410718609512626,3832
"6",NA,NA,1,0,NA,NA,1,NA,0,0,NA,1,NA,NA,14,11,336,1,64,0.031700288184438,0.0153846153846154,0.0163156727998227,-0.0240252897787144,0.0403409625785371,412
"7",NA,NA,1,0,NA,NA,1,NA,1,0,NA,1,NA,NA,15,2,199,0,39,0.00995024875621891,0,0.00995024875621891,0.0172413793103448,0.00729113055412592,240
"8",1,0,1,0,NA,1,0,0,NA,0,NA,1,NA,NA,18,10,266,1,40,0.036231884057971,0.024390243902439,0.011841640155532,-0.0243589743589744,0.0362006145145064,317
"9",0,0,1,0,NA,1,0,0,NA,0,NA,1,NA,NA,19,92,1679,11,261,0.051948051948052,0.0404411764705882,0.0115068754774637,0.0310953868266121,0.0195885113491484,2043
"10",NA,NA,1,0,0,0,0,NA,1,0,0,1,NA,NA,21,7,134,0,24,0.049645390070922,0,0.049645390070922,-0.0261904761904762,0.0758358662613982,165
"11",NA,NA,1,0,NA,0,0,NA,0,0,NA,1,NA,NA,22,48,417,3,54,0.103225806451613,0.0526315789473684,0.0505942275042445,0.0770037278657968,0.0264095003615523,522
"12",NA,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,25,1733,9279,285,1750,0.157373774064657,0.14004914004914,0.0173246340155167,0.0227672520870634,0.00544261807154667,13047
"13",NA,0,0,0,NA,1,NA,0,1,1,NA,NA,NA,NA,28,12,138,1,26,0.08,0.037037037037037,0.042962962962963,-0.131380923327232,0.174343886290195,177
"14",NA,0,1,0,0,1,NA,0,1,1,0,1,NA,NA,29,8,292,1,54,0.0266666666666667,0.0181818181818182,0.00848484848484849,-0.0156158708238169,0.0241007193086653,355
"15",NA,NA,0,0,1,NA,NA,0,0,1,NA,NA,NA,NA,32,375,296,47,52,0.558867362146051,0.474747474747475,0.084119887398576,-0.022481040086674,0.10660092748525,770
"16",NA,0,1,0,1,1,NA,0,0,1,1,NA,NA,NA,33,71,192,11,28,0.269961977186312,0.282051282051282,-0.0120893048649703,0.103335513407456,0.115424818272426,302
"17",NA,NA,NA,0,0,NA,NA,0,0,1,0,1,NA,NA,34,821,2466,92,417,0.249771828414968,0.180746561886051,0.069025266528917,0.078978978978979,0.00995371245006202,3796
"18",NA,0,1,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,37,88,273,8,43,0.243767313019391,0.156862745098039,0.0869045679213514,0.021082722887261,0.0658218450340903,412
"19",NA,1,1,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,38,49,223,4,37,0.180147058823529,0.0975609756097561,0.0825860832137733,0.137338353249304,0.054752270035531,313
"20",0,NA,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,40,432,431,34,76,0.500579374275782,0.309090909090909,0.191488465184873,0.162577535458891,0.0289109297259816,973
"21",1,NA,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,41,77,111,7,18,0.409574468085106,0.28,0.129574468085106,0.266666666666667,0.13709219858156,213
