"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,1,1,1,1,NA,0,0,0,1,1,NA,NA,6,28,609,6,113,0.043956043956044,0.0504201680672269,-0.00646412411118293,-0.0471891176116528,0.0407249935004699,756
"2",NA,0,1,1,1,1,NA,0,1,0,1,1,NA,NA,7,0,68,0,15,0,0,0,0,0,83
"3",NA,NA,NA,1,0,NA,NA,0,NA,0,0,1,NA,NA,8,251,55201,45,9930,0.00452643727908822,0.00451127819548872,1.51590835994987e-05,0.000135087159864707,0.000119928076265209,65427
"4",NA,NA,NA,1,NA,0,NA,1,1,0,NA,1,NA,NA,10,4,1344,1,234,0.0029673590504451,0.00425531914893617,-0.00128796009849107,-0.00242903350692493,0.00114107340843386,1583
"5",NA,NA,1,1,NA,0,NA,1,0,0,NA,1,NA,NA,11,12,484,1,85,0.0241935483870968,0.0116279069767442,0.0125656414103526,0.0429184549356223,0.0303528135252697,582
"6",NA,NA,0,0,0,NA,NA,NA,1,0,0,1,NA,NA,13,30,6232,1,1138,0.00479080166081124,0.000877963125548727,0.00391283853526252,0.00223863134330196,0.00167420719196055,7401
"7",NA,0,1,0,NA,1,NA,0,NA,0,NA,1,NA,NA,15,106,2455,14,410,0.0413900819992191,0.0330188679245283,0.00837121407469076,0.0227570607136817,0.014385846638991,2985
"8",NA,NA,1,0,NA,0,NA,NA,NA,0,NA,1,NA,NA,16,53,531,4,89,0.0907534246575342,0.043010752688172,0.0477426719693622,0.0513557373723714,0.00361306540300915,677
"9",1,0,NA,1,1,1,NA,0,0,1,NA,0,NA,NA,21,65,58,9,8,0.528455284552846,0.529411764705882,-0.000956480153036843,-0.242825607064018,0.241869126910981,140
"10",0,0,NA,1,1,1,1,0,NA,1,NA,0,NA,NA,22,131,207,22,36,0.387573964497041,0.379310344827586,0.00826361966945521,-0.0274725274725275,0.0357361471419827,396
"11",1,0,1,1,NA,1,0,0,NA,1,NA,1,NA,NA,25,91,577,13,98,0.13622754491018,0.117117117117117,0.0191104277930625,-0.0544729344729345,0.073583362265997,779
"12",NA,0,1,1,0,1,1,0,NA,1,0,1,NA,NA,27,242,4432,48,855,0.0517757809157039,0.053156146179402,-0.0013803652636981,0.0133176669182229,0.014698032181921,5577
"13",NA,0,1,1,1,1,1,0,NA,1,1,1,NA,NA,28,43,157,4,26,0.215,0.133333333333333,0.0816666666666667,0.127547169811321,0.0458805031446541,230
"14",NA,0,0,1,NA,1,1,0,NA,1,NA,1,NA,NA,30,846,3480,123,635,0.195561719833564,0.162269129287599,0.0332925905459655,0.0235205466587363,0.00977204388722924,5084
"15",1,0,0,1,NA,1,0,0,NA,1,NA,1,NA,NA,31,248,469,53,85,0.345885634588563,0.384057971014493,-0.0381723364259293,0.115508269530344,0.153680605956273,855
"16",NA,NA,NA,0,1,NA,NA,0,NA,1,1,NA,NA,NA,33,425,489,53,81,0.464989059080963,0.395522388059701,0.0694666710212613,0.0205976043933868,0.0488690666278745,1048
"17",NA,0,NA,0,0,1,NA,0,1,1,0,1,NA,NA,35,17,444,6,91,0.0368763557483731,0.0618556701030928,-0.0249793143547197,-0.0113706726709823,0.0136086416837374,558
"18",NA,NA,NA,0,NA,NA,1,0,0,1,0,NA,NA,NA,37,123,644,19,130,0.160365058670143,0.12751677852349,0.0328482801466535,0.0392078453775112,0.00635956523085771,916
"19",NA,NA,NA,0,NA,NA,0,0,0,1,0,NA,NA,NA,38,705,1888,82,289,0.271885846509834,0.221024258760108,0.0508615877497264,0.112439503448164,0.0615779156984374,2964
"20",NA,NA,1,NA,1,0,NA,1,0,1,1,NA,NA,NA,41,38,74,3,16,0.339285714285714,0.157894736842105,0.181390977443609,-0.105555555555556,0.286946532999165,131
"21",NA,0,1,NA,0,0,NA,1,NA,1,0,1,NA,NA,43,60,235,11,41,0.203389830508475,0.211538461538462,-0.00814863102998695,0.0829493087557604,0.0910979397857473,347
"22",NA,1,1,NA,0,0,NA,1,NA,1,0,1,NA,NA,44,36,194,0,30,0.156521739130435,0,0.156521739130435,0.203619909502262,0.0470981703718276,260
"23",NA,1,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,46,213,244,24,56,0.466083150984683,0.3,0.166083150984683,0.133851045615752,0.0322321053689312,537
"24",NA,0,0,1,NA,0,NA,1,NA,1,NA,NA,NA,NA,48,60,94,2,13,0.38961038961039,0.133333333333333,0.256277056277056,0.114779874213836,0.14149718206322,169
"25",NA,0,0,0,NA,0,NA,1,NA,1,NA,NA,NA,NA,49,225,223,23,41,0.502232142857143,0.359375,0.142857142857143,0.30424084527428,0.161383702417137,512
